word;phonetic;ipa;audio_file
a;A;a;https://sozluk.rtuk.gov.tr/Home/SesKelime/1
ab;A:b;aːb;https://sozluk.rtuk.gov.tr/Home/SesKelime/3
abanoz;abanoz;abanoz;https://sozluk.rtuk.gov.tr/Home/SesKelime/8
aba;a:ba;aːba;https://sozluk.rtuk.gov.tr/Home/SesKelime/12117
abad;A:ba:d;aːbaːd;https://sozluk.rtuk.gov.tr/Home/SesKelime/5
Abbas;Abbas;abbas;https://sozluk.rtuk.gov.tr/Home/SesKelime/12
Abbasi;Abba:si:;abbaːsiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/13
abdesthane;Abdéstha:né;abdesthaːne;https://sozluk.rtuk.gov.tr/Home/SesKelime/16
abdestlik;Abdéstlik;abdestlik;https://sozluk.rtuk.gov.tr/Home/SesKelime/17
abdest;abdést;abdest;https://sozluk.rtuk.gov.tr/Home/SesKelime/15
abdal;abda:l;abdaːl;https://sozluk.rtuk.gov.tr/Home/SesKelime/14
abes;abés;abes;https://sozluk.rtuk.gov.tr/Home/SesKelime/22
Abdülkadir;Abdülka:dir;abdyɫkaːdiɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/20
abid;A:bid;aːbid;https://sozluk.rtuk.gov.tr/Home/SesKelime/26
abıhayat;A:bıhayat (A:bıhaya:t-ı);aːbɯhajat;https://sozluk.rtuk.gov.tr/Home/SesKelime/23
abıkevser;A:bıkévser;aːbɯcevsɛɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/24
abi;a:bi:;aːbiː;https://sozluk.rtuk.gov.tr/Home/SesKelime/12129
abide;A:bidé;aːbide;https://sozluk.rtuk.gov.tr/Home/SesKelime/28
abidevi;A:bidévi:;aːbideviː;https://sozluk.rtuk.gov.tr/Home/SesKelime/29
abiye;Abiyé;abije;https://sozluk.rtuk.gov.tr/Home/SesKelime/31
Abidin;A:bidi:n;aːbidiːn;https://sozluk.rtuk.gov.tr/Home/SesKelime/27
abla;abla;abɫa;https://sozluk.rtuk.gov.tr/Home/SesKelime/32
ablak;ablak;abɫak;https://sozluk.rtuk.gov.tr/Home/SesKelime/33
abonman;Abonman;abonman;https://sozluk.rtuk.gov.tr/Home/SesKelime/34
Aborjin;Aborjin;aboɾʒin;https://sozluk.rtuk.gov.tr/Home/SesKelime/35
absürt;Absürt;absyɾt;https://sozluk.rtuk.gov.tr/Home/SesKelime/38
abrakadabra;Abrakadabra;abɾakadabɾa;https://sozluk.rtuk.gov.tr/Home/SesKelime/36
abuk sabuk;Abuk sabuk;abuk sabuk;https://sozluk.rtuk.gov.tr/Home/SesKelime/39
absorbe;absorbé;absoɾbe;https://sozluk.rtuk.gov.tr/Home/SesKelime/37
abus;abus;abus;https://sozluk.rtuk.gov.tr/Home/SesKelime/40
acaba;Acaba:;ad͡ʒabaː;https://sozluk.rtuk.gov.tr/Home/SesKelime/41
acar;acar;ad͡ʒaɾ;https://sozluk.rtuk.gov.tr/Home/SesKelime/42
