word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
aɾz,aɾz,arz.wav,a,arz,arz
baːji,"baː,ji",bayi.wav,"a,i",bayi,"ba,yi"
d͡ʒiɾo,"d͡ʒi,ɾo",ciro.wav,"i,o",ciro,"ci,ro"
envantɛɾ,"en,van,tɛɾ",envanter.wav,"e,a,ɛ",envanter,"en,van,ter"
fijat,"fi,jat",fiyat.wav,"i,a",fiyat,"fi,yat"
hedef,"he,def",hedef.wav,"e,e",hedef,"he,def"
hizmet,"hiz,met",hizmet.wav,"i,e",hizmet,"hiz,met"
kampanja,"kam,pan,ja",kampanya.wav,"a,a,a",kampanya,"kam,pan,ya"
kaɾ,kaɾ,kar.wav,a,kâr,kâr
komisjon,"ko,mis,jon",komisyon.wav,"o,i,o",komisyon,"ko,mis,yon"
saɾɾaf,"saɾ,ɾaf",sarraf.wav,"a,a",sarraf,"sar,raf"
satɯh,"sa,tɯh",satih.wav,"a,ɯ",satıh,"sa,tıh"
seɡmɛnt,"seɡ,mɛnt",segment.wav,"e,ɛ",segment,"seg,ment"
senet,"se,net",senet.wav,"e,e",senet,"se,net"
taksit,"tak,sit",taksit.wav,"a,i",taksit,"tak,sit"
talep,"ta,lep",talep.wav,"a,e",talep,"ta,lep"
talepcɑɾ,"ta,lep,cɑɾ",talepkar.wav,"a,e,ɑ",talepkâr,"ta,lepkâr"
tebliː,"teb,liː",teblig.wav,"e,i",tebliğ,"teb,liğ"
tɛbliːɡaːt,"tɛb,liː,ɡaːt",tebligat.wav,"ɛ,i,a",tebligat,"teb,li,gat"
tedaːɾik,"te,daː,ɾik",tedarik.wav,"e,a,i",tedarik,"te,da,rik"
teklif,"tek,lif",teklif.wav,"e,i",teklif,"tek,lif"
teshiːɾ,"tes,hiːɾ",teshir.wav,"e,i",teşhir,"teş,hir"
teslim,"tes,lim",teslim.wav,"e,i",teslim,"tes,lim"
tesliːmaːt,"tes,liː,maːt",teslimat.wav,"e,i,a",teslimat,"tes,li,mat"
teʃvik,"teʃ,vik",tesvik.wav,"e,i",teşvik,"teş,vik"
veznedaːɾ,"vez,ne,daːɾ",veznedar.wav,"e,e,a",veznedar,"vez,ne,dar"
vizjon,"viz,jon",vizyon.wav,"i,o",vizyon,"viz,yon"
