word,meaning
arz,Bir malın piyasaya sunulması.
ciro,Belirli sürede yapılan toplam satış miktarı.
tedarik,Gerekli mal veya hizmetin sağlanması.
satıh,"Yüzey, düzlem."
satış,Mal veya hizmetin alıcıya sunulması işlemi.
sarraf,Altın ve döviz alım-satımı yapan kişi.
tebliğ,Resmi bildirim.
tebligat,Resmi tebligat işlemi.
teşvik,Bir iş veya faaliyeti özendirme amacıyla verilen destek.
teşhir,Ürünlerin dikkat çekecek şekilde sunulması.
taksit,Borçların parça parça ödenmesi yöntemi.
envanter,Stokta bulunan ürünlerin listesi.
senet,Ödeme taahhüdü içeren resmi belge.
vizyon,Geleceğe dair plan ve bakış açısı.
teklif,Bir iş için sunulan fiyat ve şartlar bütünü.
vezne,Nakit işlemlerin yapıldığı yer.
veznedar,Veznedeki işlemleri yürüten kişi.
teslim,Bir ürünün ya da hizmetin alıcıya verilmesi.
teslimat,Teslim etme işlemi.
kampanya,Ürün ya da hizmetin indirimli sunulduğu dönem.
kâr,Gelir ile gider farkı olarak elde edilen kazanç.
bayi,Ürün dağıtımı yapan satış noktası.
fiyat,Bir ürünün alım değeri.
segment,Pazarda farklı müşteri grupları.
komisyon,Satıştan alınan pay ya da ücret.
talep,Ürün ya da hizmete olan istek.
talepkâr,"Talep eden, isteyen."
ödeme,Bir ürün ya da hizmet karşılığında yapılan ödeme işlemi.
tanıtım,Ürün veya hizmetin tanıtılması amacıyla yapılan faaliyet.
hizmet,Alıcılara sunulan yararlı faaliyet.
hedef,Ulaşılmak istenen sonuç ya da seviye.
