word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
aɾz,aɾz,https://sozluk.rtuk.gov.tr/Home/SesKelime/420,a,arz,arz
baːji,"baː,ji",https://sozluk.rtuk.gov.tr/Home/SesKelime/767,"a,i",bayi,"ba,yi"
d͡ʒiɾo,"d͡ʒi,ɾo",https://sozluk.rtuk.gov.tr/Home/SesKelime/1367,"i,o",ciro,"ci,ro"
envantɛɾ,"en,van,tɛɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/2249,"e,a,ɛ",envanter,"en,van,ter"
fijat,"fi,jat",https://sozluk.rtuk.gov.tr/Home/SesKelime/2706,"i,a",fiyat,"fi,yat"
hedef,"he,def",https://sozluk.rtuk.gov.tr/Home/SesKelime/3633,"e,e",hedef,"he,def"
hizmet,"hiz,met",https://sozluk.rtuk.gov.tr/Home/SesKelime/3842,"i,e",hizmet,"hiz,met"
kampanja,"kam,pan,ja",https://sozluk.rtuk.gov.tr/Home/SesKelime/4987,"a,a,a",kampanya,"kam,pan,ya"
kaɾ,kaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/5039,a,kâr,kâr
komisjon,"ko,mis,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/5509,"o,i,o",komisyon,"ko,mis,yon"
saɾɾaf,"saɾ,ɾaf",https://sozluk.rtuk.gov.tr/Home/SesKelime/9248,"a,a",sarraf,"sar,raf"
satɯh,"sa,tɯh",https://sozluk.rtuk.gov.tr/Home/SesKelime/9258,"a,ɯ",satıh,"sa,tıh"
seɡmɛnt,"seɡ,mɛnt",https://sozluk.rtuk.gov.tr/Home/SesKelime/9320,"e,ɛ",segment,"seg,ment"
senet,"se,net",https://sozluk.rtuk.gov.tr/Home/SesKelime/9406,"e,e",senet,"se,net"
taksit,"tak,sit",https://sozluk.rtuk.gov.tr/Home/SesKelime/10316,"a,i",taksit,"tak,sit"
talep,"ta,lep",https://sozluk.rtuk.gov.tr/Home/SesKelime/10331,"a,e",talep,"ta,lep"
talepcɑɾ,"ta,lep,cɑɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/10332,"a,e,ɑ",talepkâr,"ta,lepkâr"
tebliː,"teb,liː",https://sozluk.rtuk.gov.tr/Home/SesKelime/10506,"e,i",tebliğ,"teb,liğ"
tɛbliːɡaːt,"tɛb,liː,ɡaːt",https://sozluk.rtuk.gov.tr/Home/SesKelime/10505,"ɛ,i,a",tebligat,"teb,li,gat"
tedaːɾik,"te,daː,ɾik",https://sozluk.rtuk.gov.tr/Home/SesKelime/10538,"e,a,i",tedarik,"te,da,rik"
teklif,"tek,lif",https://sozluk.rtuk.gov.tr/Home/SesKelime/10637,"e,i",teklif,"tek,lif"
teshiːɾ,"tes,hiːɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/10896,"e,i",teşhir,"teş,hir"
teslim,"tes,lim",https://sozluk.rtuk.gov.tr/Home/SesKelime/10867,"e,i",teslim,"tes,lim"
tesliːmaːt,"tes,liː,maːt",https://sozluk.rtuk.gov.tr/Home/SesKelime/10869,"e,i,a",teslimat,"tes,li,mat"
teʃvik,"teʃ,vik",https://sozluk.rtuk.gov.tr/Home/SesKelime/10921,"e,i",teşvik,"teş,vik"
veznedaːɾ,"vez,ne,daːɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/11577,"e,e,a",veznedar,"vez,ne,dar"
vizjon,"viz,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/11611,"i,o",vizyon,"viz,yon"
