word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
akademisjɛn,"a,ka,de,mis,jɛn",akademisyen.wav,"a,a,e,i,ɛ",akademisyen,"a,ka,de,mis,yen"
aːɫfabe,"aːɫ,fa,be",alfabe.wav,"a,a,e",alfabe,"al,fa,be"
analitik,"a,na,li,tik",analitik.wav,"a,a,i,i",analitik,"a,na,li,tik"
anatomi,"a,na,to,mi",anatomi.wav,"a,a,o,i",anatomi,"a,na,to,mi"
ancetœɾ,"an,ce,tœɾ",anketor.wav,"a,e,œ",anketör,"an,ke,tör"
aɾitmetik,"a,ɾit,me,tik",aritmetik.wav,"a,i,e,i",aritmetik,"a,rit,me,tik"
aɾceoloːʒi,"aɾ,ce,o,loː,ʒi",arkeoloji.wav,"a,e,o,o,i",arkeoloji,"ar,ke,o,lo,ji"
atœɫje,"a,tœɫ,je",atolye.wav,"a,œ,e",atölye,"a,töl,ye"
bakaloːɾja,"ba,ka,loːɾ,ja",bakalorya.wav,"a,a,o,a",bakalorya,"ba,ka,lor,ya"
beɫletmɛn,"beɫ,let,mɛn",belletmen.wav,"e,e,ɛ",belletmen,"bel,let,men"
biblijoɡɾafja,"bib,li,joɡ,ɾaf,ja",bibliyografya.wav,"i,i,o,a,a",bibliyografya,"bib,li,yog,raf,ya"
biliʃim,"bi,li,ʃim",bilisim.wav,"i,i,i",bilişim,"bi,li,şim"
bijoɡɾafi,"bi,joɡ,ɾa,fi",biyografi.wav,"i,o,a,i",biyografi,"bi,yog,ra,fi"
bijoloːʒi,"bi,jo,loː,ʒi",biyoloji.wav,"i,o,o,i",biyoloji,"bi,yo,lo,ji"
bɾoʃyɾ,"bɾo,ʃyɾ",brosur.wav,"o,y",broşür,"bro,şür"
d͡ʒetvɛl,"d͡ʒet,vɛl",cetvel.wav,"e,ɛ",cetvel,"cet,vel"
d͡ʒoːɾafja,"d͡ʒoː,ɾaf,ja",cografya.wav,"o,a,a",coğrafya,"coğ,raf,ya"
d͡ʒymle,"d͡ʒym,le",cumle.wav,"y,e",cümle,"cüm,le"
dɛɾs,dɛɾs,ders.wav,ɛ,ders,ders
dɛɾshaːne,"dɛɾs,haː,ne",dershane.wav,"ɛ,a,e",dershane,"ders,ha,ne"
didaktik,"di,dak,tik",didaktik.wav,"i,a,i",didaktik,"di,dak,tik"
diksijon,"dik,si,jon",diksiyon.wav,"i,i,o",diksiyon,"dik,si,yon"
dil,dil,dil.wav,i,dil,dil
diploːma,"dip,loː,ma",diploma.wav,"i,o,a",diploma,"dip,lo,ma"
docymantasjon,"do,cy,man,tas,jon",dokumantasyon.wav,"o,y,a,a,o",dokümantasyon,"do,kü,man,tas,yon"
edebijat,"e,de,bi,jat",edebiyat.wav,"e,e,i,a",edebiyat,"e,de,bi,yat"
editœɾ,"e,di,tœɾ",editor.wav,"e,i,œ",editör,"e,di,tör"
ejitim,"e,ji,tim",egitim.wav,"e,i,i",eğitim,"e,ği,tim"
eɡzɛɾsiz,"eɡ,zɛɾ,siz",egzersiz.wav,"e,ɛ,i",egzersiz,"eg,zer,siz"
enstity,"ens,ti,ty",enstitu.wav,"e,i,y",enstitü,"ens,ti,tü"
makaːle,"ma,kaː,le",makale.wav,"a,a,e",makale,"ma,ka,le"
mydeɾɾis,"my,deɾ,ɾis",muderris.wav,"y,e,i",müderris,"mü,der,ris"
mydiːɾe,"my,diː,ɾe",mudire.wav,"y,i,e",müdire,"mü,di,re"
mydyɾ,"my,dyɾ",mudur.wav,"y,y",müdür,"mü,dür"
myeɫlif,"my,eɫ,lif",muellif.wav,"y,e,i",müellif,"mü,el,lif"
myessese,"my,es,se,se",muessese.wav,"y,e,e,e",müessese,"mü,es,se,se"
myfɾedat,"myf,ɾe,dat",mufredat.wav,"y,e,a",müfredat,"müf,re,dat"
myhendis,"my,hen,dis",muhendis.wav,"y,e,i",mühendis,"mü,hen,dis"
taːlim,"taː,lim",talim.wav,"a,i",talim,"ta,lim"
taːlimɡɑːh,"taː,lim,ɡɑːh",talimgah.wav,"a,i,ɑ",talimgâh,"ta,limgâh"
taːɾif,"taː,ɾif",tarif.wav,"a,i",tarif,"ta,rif"
taːɾih,"taː,ɾih",tarih.wav,"a,i",tarih,"ta,rih"
ted͡ʒɾybe,"ted͡ʒ,ɾy,be",tecrube.wav,"e,y,e",tecrübe,"tec,rü,be"
tedɾis,"ted,ɾis",tedris.wav,"e,i",tedris,"ted,ris"
tedɾiːsaːt,"ted,ɾiː,saːt",tedrisat.wav,"e,i,a",tedrisat,"ted,ri,sat"
tedɾiːsiː,"ted,ɾiː,siː",tedrisi.wav,"e,i,i",tedrisi,"ted,ri,si"
