word,meaning
açık öğretim,Uzaktan veya online olarak sürdürülen öğretim türü.
akademisyen,Üniversite düzeyinde araştırma ve eğitim yapan kişi.
alfabe,Harflerin sıralandığı dizgi.
analitik,Mantıklı ve çözümlemeye dayalı düşünme.
anatomi,Canlıların yapı ve organlarını inceleyen bilim dalı.
anketör,Anket uygulayan kişi.
aritmetik,Temel sayısal işlemleri içeren matematik dalı.
arkeoloji,Kazı çalışmalarıyla eski medeniyetleri inceleyen bilim.
atölye,Sanat veya teknik eğitim yapılan yer.
bakalorya,Lise düzeyinde uluslararası diploma programı.
belletmen,Öğrencilere gözetmenlik yapan kişi.
bibliyografya,Kaynakların listelendiği kitap veya bölüm.
bilişim,Bilgi teknolojileriyle ilgili alan.
biyografi,Bir kişinin yaşam öyküsünün anlatıldığı yazı türü.
biyoloji,Canlıları inceleyen bilim dalı.
briifng,Kısa ve öz bilgi sunumu.
broşür,Tanıtım amaçlı küçük kitapçık.
cetvel,Ölçüm aracı; çizgili ölçü cetveli.
coğrafya,Yeryüzü ve insan arasındaki ilişkileri inceleyen bilim dalı.
cümle,Anlamlı kelimelerden oluşan söz dizisi.
ders,Öğretim konusu olan bilgi bütünü.
dershane,Öğrencilere ders verilen özel eğitim kurumu.
didaktik,"Öğretici, bilgi aktarıcı nitelikte olan."
diksiyon,"Doğru, etkili konuşma sanatı."
dil,İletişim ve düşünce aracı olan sesli işaret sistemi.
diploma,Bir öğrenim programının tamamlandığını belgeleyen belge.
doküman,Yazılı bilgi veya belge.
dokümantasyon,Belge hazırlama işlemi ve süreci.
eğitim,Bireylerin bilgi ve becerilerini geliştirme süreci.
edebiyat,Yazılı veya sözlü güzel sanatlar türü.
editör,Metinleri düzenleyen ve yayına hazırlayan kişi.
egzersiz,Beden hareketlerine dayalı alıştırma.
enstitü,Bilimsel araştırma ve eğitim kurumu.
enstrümangramer,Dilbilgisi ve müzik aleti terimlerinin birleşimi (karma terim).
makale,Araştırmaya dayalı akademik yazı.
maarif,"Eğitimle ilgili kurumlar bütünü, eğitim işleri."
müfredat,Ders programı ve içeriği.
müderris,Osmanlı döneminde ders veren öğretmen.
müdür,Okul ve kurum yöneticisi (erkek).
müdire,Okul ve kurum yöneticisi (kadın).
müessese,"Kurum, kuruluş."
müellif,Bir eserin yazarı.
mühendis,Teknik bilgiyle çalışan tasarımcı ve uygulayıcı uzman.
talim,"Eğitim, öğretim."
talimgâh,Eğitim yapılan yer.
tedris,Öğretim işi.
tedrisat,"Eğitim işleri, öğretim süreci."
tedrisi,Öğretime dair olan.
tedip,"Terbiye etme, disiplin kazandırma."
tecrübe,"Yaşanarak kazanılan bilgi, deneyim."
tarih,Geçmişteki olayları inceleyen bilim dalı.
tarif,Bir şeyin nasıl yapıldığını anlatan tanım.
