word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
akademisjɛn,"a,ka,de,mis,jɛn",https://sozluk.rtuk.gov.tr/Home/SesKelime/163,"a,a,e,i,ɛ",akademisyen,"a,ka,de,mis,yen"
aːɫfabe,"aːɫ,fa,be",https://sozluk.rtuk.gov.tr/Home/SesKelime/246,"a,a,e",alfabe,"al,fa,be"
analitik,"a,na,li,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/316,"a,a,i,i",analitik,"a,na,li,tik"
anatomi,"a,na,to,mi",https://sozluk.rtuk.gov.tr/Home/SesKelime/326,"a,a,o,i",anatomi,"a,na,to,mi"
ancetœɾ,"an,ce,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/344,"a,e,œ",anketör,"an,ke,tör"
aɾitmetik,"a,ɾit,me,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/403,"a,i,e,i",aritmetik,"a,rit,me,tik"
aɾceoloːʒi,"aɾ,ce,o,loː,ʒi",https://sozluk.rtuk.gov.tr/Home/SesKelime/408,"a,e,o,o,i",arkeoloji,"ar,ke,o,lo,ji"
atœɫje,"a,tœɫ,je",https://sozluk.rtuk.gov.tr/Home/SesKelime/537,"a,œ,e",atölye,"a,töl,ye"
bakaloːɾja,"ba,ka,loːɾ,ja",https://sozluk.rtuk.gov.tr/Home/SesKelime/677,"a,a,o,a",bakalorya,"ba,ka,lor,ya"
beɫletmɛn,"beɫ,let,mɛn",https://sozluk.rtuk.gov.tr/Home/SesKelime/830,"e,e,ɛ",belletmen,"bel,let,men"
biblijoɡɾafja,"bib,li,joɡ,ɾaf,ja",https://sozluk.rtuk.gov.tr/Home/SesKelime/936,"i,i,o,a,a",bibliyografya,"bib,li,yog,raf,ya"
biliʃim,"bi,li,ʃim",https://sozluk.rtuk.gov.tr/Home/SesKelime/981,"i,i,i",bilişim,"bi,li,şim"
bijoɡɾafi,"bi,joɡ,ɾa,fi",https://sozluk.rtuk.gov.tr/Home/SesKelime/1026,"i,o,a,i",biyografi,"bi,yog,ra,fi"
bijoloːʒi,"bi,jo,loː,ʒi",https://sozluk.rtuk.gov.tr/Home/SesKelime/1027,"i,o,o,i",biyoloji,"bi,yo,lo,ji"
bɾoʃyɾ,"bɾo,ʃyɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1077,"o,y",broşür,"bro,şür"
d͡ʒetvɛl,"d͡ʒet,vɛl",https://sozluk.rtuk.gov.tr/Home/SesKelime/1287,"e,ɛ",cetvel,"cet,vel"
d͡ʒoːɾafja,"d͡ʒoː,ɾaf,ja",https://sozluk.rtuk.gov.tr/Home/SesKelime/1378,"o,a,a",coğrafya,"coğ,raf,ya"
d͡ʒymle,"d͡ʒym,le",https://sozluk.rtuk.gov.tr/Home/SesKelime/12426,"y,e",cümle,"cüm,le"
dɛɾs,dɛɾs,https://sozluk.rtuk.gov.tr/Home/SesKelime/1721,ɛ,ders,ders
dɛɾshaːne,"dɛɾs,haː,ne",https://sozluk.rtuk.gov.tr/Home/SesKelime/1723,"ɛ,a,e",dershane,"ders,ha,ne"
didaktik,"di,dak,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/1806,"i,a,i",didaktik,"di,dak,tik"
diksijon,"dik,si,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/1822,"i,i,o",diksiyon,"dik,si,yon"
dil,dil,https://sozluk.rtuk.gov.tr/Home/SesKelime/1824,i,dil,dil
dil,dil,https://sozluk.rtuk.gov.tr/Home/SesKelime/1824,i,dil,dil
diploːma,"dip,loː,ma",https://sozluk.rtuk.gov.tr/Home/SesKelime/1861,"i,o,a",diploma,"dip,lo,ma"
docymantasjon,"do,cy,man,tas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/1908,"o,y,a,a,o",dokümantasyon,"do,kü,man,tas,yon"
edebijat,"e,de,bi,jat",https://sozluk.rtuk.gov.tr/Home/SesKelime/2025,"e,e,i,a",edebiyat,"e,de,bi,yat"
editœɾ,"e,di,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/2036,"e,i,œ",editör,"e,di,tör"
ejitim,"e,ji,tim",https://sozluk.rtuk.gov.tr/Home/SesKelime/2072,"e,i,i",eğitim,"e,ği,tim"
eɡzɛɾsiz,"eɡ,zɛɾ,siz",https://sozluk.rtuk.gov.tr/Home/SesKelime/2064,"e,ɛ,i",egzersiz,"eg,zer,siz"
enstity,"ens,ti,ty",https://sozluk.rtuk.gov.tr/Home/SesKelime/2236,"e,i,y",enstitü,"ens,ti,tü"
makaːle,"ma,kaː,le",https://sozluk.rtuk.gov.tr/Home/SesKelime/6172,"a,a,e",makale,"ma,ka,le"
mydeɾɾis,"my,deɾ,ɾis",https://sozluk.rtuk.gov.tr/Home/SesKelime/7381,"y,e,i",müderris,"mü,der,ris"
mydiːɾe,"my,diː,ɾe",https://sozluk.rtuk.gov.tr/Home/SesKelime/7383,"y,i,e",müdire,"mü,di,re"
mydyɾ,"my,dyɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/7384,"y,y",müdür,"mü,dür"
myeɫlif,"my,eɫ,lif",https://sozluk.rtuk.gov.tr/Home/SesKelime/7392,"y,e,i",müellif,"mü,el,lif"
myessese,"my,es,se,se",https://sozluk.rtuk.gov.tr/Home/SesKelime/7396,"y,e,e,e",müessese,"mü,es,se,se"
myfɾedat,"myf,ɾe,dat",https://sozluk.rtuk.gov.tr/Home/SesKelime/7415,"y,e,a",müfredat,"müf,re,dat"
myhendis,"my,hen,dis",https://sozluk.rtuk.gov.tr/Home/SesKelime/7422,"y,e,i",mühendis,"mü,hen,dis"
taːlim,"taː,lim",https://sozluk.rtuk.gov.tr/Home/SesKelime/10337,"a,i",talim,"ta,lim"
taːlimɡɑːh,"taː,lim,ɡɑːh",https://sozluk.rtuk.gov.tr/Home/SesKelime/10340,"a,i,ɑ",talimgâh,"ta,limgâh"
taːɾif,"taː,ɾif",https://sozluk.rtuk.gov.tr/Home/SesKelime/10394,"a,i",tarif,"ta,rif"
taːɾih,"taː,ɾih",https://sozluk.rtuk.gov.tr/Home/SesKelime/10398,"a,i",tarih,"ta,rih"
ted͡ʒɾybe,"ted͡ʒ,ɾy,be",https://sozluk.rtuk.gov.tr/Home/SesKelime/10530,"e,y,e",tecrübe,"tec,rü,be"
tedɾis,"ted,ɾis",https://sozluk.rtuk.gov.tr/Home/SesKelime/10552,"e,i",tedris,"ted,ris"
tedɾiːsaːt,"ted,ɾiː,saːt",https://sozluk.rtuk.gov.tr/Home/SesKelime/10553,"e,i,a",tedrisat,"ted,ri,sat"
tedɾiːsiː,"ted,ɾiː,siː",https://sozluk.rtuk.gov.tr/Home/SesKelime/10554,"e,i,i",tedrisi,"ted,ri,si"
