word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
ad͡ʒente,"a,d͡ʒen,te",acente.wav,"a,e,e",acente,"a,cen,te"
aːd͡ʒiz,"aː,d͡ʒiz",aciz.wav,"a,i",aciz,"a,ciz"
adaːlet,"a,daː,let",adalet.wav,"a,a,e",adalet,"a,da,let"
ahit,"a,hit",ahit.wav,"a,i",ahit,"a,hit"
akaːmɛt,"a,kaː,mɛt",akamet.wav,"a,a,ɛ",akamet,"a,ka,met"
aleɫusuːːl,"a,le,ɫu,suːːl",alelusul.wav,"a,e,u,u",alelusul,"a,le,lu,sul"
alenijet,"a,le,ni,jet",aleniyet.wav,"a,e,i,e",aleniyet,"a,le,ni,yet"
aːmaːde,"aː,maː,de",amade.wav,"a,a,e",amade,"a,ma,de"
amɛl,"a,mɛl",amel.wav,"a,ɛ",amel,"a,mel"
amele,"a,me,le",amele.wav,"a,e,e",amele,"a,me,le"
amme,"am,me",amme.wav,"a,e",amme,"am,me"
anɡaʒe,"an,ɡa,ʒe",angaje.wav,"a,a,e",angaje,"an,ga,je"
aɾz,aɾz,arz.wav,a,arz,arz
atɯf,"a,tɯf",atif.wav,"a,ɯ",atıf,"a,tıf"
aval,"a,val",aval.wav,"a,a",aval,"a,val"
avdet,"av,det",avdet.wav,"a,e",avdet,"av,det"
azil,"a,zil",azil.wav,"a,i",azil,"a,zil"
aziːmet,"a,ziː,met",azimet.wav,"a,i,e",azimet,"a,zi,met"
bahɾiː,"bah,ɾiː",bahri.wav,"a,i",bahri,"bah,ri"
baːci,"baː,ci",baki.wav,"a,i",baki,"ba,ki"
bacije,"ba,ci,je",bakiye.wav,"a,i,e",bakiye,"ba,ki,ye"
baːliː,"baː,liː",balig.wav,"a,i",baliğ,"ba,liğ"
baːɾiz,"baː,ɾiz",bariz.wav,"a,i",bariz,"ba,riz"
basiːɾet,"ba,siː,ɾet",basiret.wav,"a,i,e",basiret,"ba,si,ret"
baːtɯl,"baː,tɯl",batil.wav,"a,ɯ",batıl,"ba,tıl"
baːji,"baː,ji",bayi.wav,"a,i",bayi,"ba,yi"
behɛɾ,"be,hɛɾ",beher.wav,"e,ɛ",beher,"be,her"
belɑːɡat,"be,lɑː,ɡat",belagat.wav,"e,ɑ,a",belagat,"be,la,gat"
beɾaːɑt,"be,ɾa,ːɑt",beraat.wav,"e,a,ɑ",beraat,"be,ra,at"
bɛɾhavaː,"bɛɾ,ha,vaː",berhava.wav,"ɛ,a,a",berhava,"ber,ha,va"
beʃeɾiː,"be,ʃe,ɾiː",beseri.wav,"e,e,i",beşerî,"be,şerî"
bejannaːme,"be,jan,naː,me",beyanname.wav,"e,a,a,e",beyanname,"be,yan,na,me"
bɛjtyɫmɑːl,"bɛj,tyɫ,mɑːl",beytulmal.wav,"ɛ,y,ɑ",beytülmal,"bey,tül,mal"
bilɑːhaɾe,"bi,lɑː,ha,ɾe",bilahare.wav,"i,ɑ,a,e",bilahare,"bi,la,ha,re"
bilɑnt͡ʃo,"bi,lɑn,t͡ʃo",bilanco.wav,"i,ɑ,o",bilanço,"bi,lan,ço"
biɫfiːil,"biɫ,fi,ːil",bilfiil.wav,"i,i,i",bilfiil,"bil,fi,il"
biliɫtizaːm,"bi,liɫ,ti,zaːm",bililtizam.wav,"i,i,i,a",bililtizam,"bi,lil,ti,zam"
d͡ʒaːɾiː,"d͡ʒaː,ɾiː",cari.wav,"a,i",cari,"ca,ri"
d͡ʒebɛl,"d͡ʒe,bɛl",cebel.wav,"e,ɛ",cebel,"ce,bel"
d͡ʒebɾiː,"d͡ʒeb,ɾiː",cebri.wav,"e,i",cebrî,cebrî
d͡ʒɛɫpnaːme,"d͡ʒɛɫp,naː,me",celpname.wav,"ɛ,a,e",celpname,"celp,na,me"
d͡ʒenuːp,"d͡ʒe,nuːp",cenup.wav,"e,u",cenup,"ce,nup"
d͡ʒeɾeme,"d͡ʒe,ɾe,me",cereme.wav,"e,e,e",cereme,"ce,re,me"
d͡ʒevhɛɾ,"d͡ʒev,hɛɾ",cevher.wav,"e,ɛ",cevher,"cev,her"
d͡ʒezaː,"d͡ʒe,zaː",ceza.wav,"e,a",ceza,"ce,za"
d͡ʒihet,"d͡ʒi,het",cihet.wav,"i,e",cihet,"ci,het"
d͡ʒiɾo,"d͡ʒi,ɾo",ciro.wav,"i,o",ciro,"ci,ro"
d͡ʒyz,d͡ʒyz,cuz.wav,y,cüz,cüz
delil,"de,lil",delil.wav,"e,i",delil,"de,lil"
depozito,"de,po,zi,to",depozito.wav,"e,o,i,o",depozito,"de,po,zi,to"
desiːse,"de,siː,se",desise.wav,"e,i,e",desise,"de,si,se"
edaː,"e,daː",eda.wav,"e,a",eda,"e,da"
edim,"e,dim",edim.wav,"e,i",edim,"e,dim"
ekseɾijet,"ek,se,ɾi,jet",ekseriyet.wav,"e,e,i,e",ekseriyet,"ek,se,ri,yet"
eɫfaːz,"eɫ,faːz",elfaz.wav,"e,a",elfaz,"el,faz"
emtia,"em,ti,a",emtia.wav,"e,i,a",emtia,"em,ti,a"
emvɑːl,"em,vɑːl",emval.wav,"e,ɑ",emval,"em,val"
enfysiː,"en,fy,siː",enfusi.wav,"e,y,i",enfüsi,"en,fü,si"
enkaːz,"en,kaːz",enkaz.wav,"e,a",enkaz,"en,kaz"
eʃd͡ʒaːɾ,"eʃ,d͡ʒaːɾ",escar.wav,"e,a",eşcar,"eş,car"
eshaːm,"es,haːm",esham.wav,"e,a",esham,"es,ham"
eʃhaːs,"eʃ,haːs",eshas.wav,"e,a",eşhas,"eş,has"
eʃcɑl,"eʃ,cɑl",eskal.wav,"e,ɑ",eşkâl,eşkâl
