word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
ad͡ʒente,"a,d͡ʒen,te",https://sozluk.rtuk.gov.tr/Home/SesKelime/51,"a,e,e",acente,"a,cen,te"
aːd͡ʒiz,"aː,d͡ʒiz",https://sozluk.rtuk.gov.tr/Home/SesKelime/57,"a,i",aciz,"a,ciz"
adaːlet,"a,daː,let",https://sozluk.rtuk.gov.tr/Home/SesKelime/68,"a,a,e",adalet,"a,da,let"
ahit,"a,hit",https://sozluk.rtuk.gov.tr/Home/SesKelime/139,"a,i",ahit,"a,hit"
akaːmɛt,"a,kaː,mɛt",https://sozluk.rtuk.gov.tr/Home/SesKelime/164,"a,a,ɛ",akamet,"a,ka,met"
aleɫusuːːl,"a,le,ɫu,suːːl",https://sozluk.rtuk.gov.tr/Home/SesKelime/223,"a,e,u,u",alelusul,"a,le,lu,sul"
alenijet,"a,le,ni,jet",https://sozluk.rtuk.gov.tr/Home/SesKelime/232,"a,e,i,e",aleniyet,"a,le,ni,yet"
aːmaːde,"aː,maː,de",https://sozluk.rtuk.gov.tr/Home/SesKelime/273,"a,a,e",amade,"a,ma,de"
amɛl,"a,mɛl",https://sozluk.rtuk.gov.tr/Home/SesKelime/282,"a,ɛ",amel,"a,mel"
amele,"a,me,le",https://sozluk.rtuk.gov.tr/Home/SesKelime/283,"a,e,e",amele,"a,me,le"
amme,"am,me",https://sozluk.rtuk.gov.tr/Home/SesKelime/302,"a,e",amme,"am,me"
anɡaʒe,"an,ɡa,ʒe",https://sozluk.rtuk.gov.tr/Home/SesKelime/330,"a,a,e",angaje,"an,ga,je"
aɾz,aɾz,https://sozluk.rtuk.gov.tr/Home/SesKelime/420,a,arz,arz
atɯf,"a,tɯf",https://sozluk.rtuk.gov.tr/Home/SesKelime/527,"a,ɯ",atıf,"a,tıf"
atɯf,"a,tɯf",https://sozluk.rtuk.gov.tr/Home/SesKelime/527,"a,ɯ",atıf,"a,tıf"
aval,"a,val",https://sozluk.rtuk.gov.tr/Home/SesKelime/543,"a,a",aval,"a,val"
avdet,"av,det",https://sozluk.rtuk.gov.tr/Home/SesKelime/549,"a,e",avdet,"av,det"
azil,"a,zil",https://sozluk.rtuk.gov.tr/Home/SesKelime/596,"a,i",azil,"a,zil"
aziːmet,"a,ziː,met",https://sozluk.rtuk.gov.tr/Home/SesKelime/599,"a,i,e",azimet,"a,zi,met"
bahɾiː,"bah,ɾiː",https://sozluk.rtuk.gov.tr/Home/SesKelime/668,"a,i",bahri,"bah,ri"
baːci,"baː,ci",https://sozluk.rtuk.gov.tr/Home/SesKelime/680,"a,i",baki,"ba,ki"
bacije,"ba,ci,je",https://sozluk.rtuk.gov.tr/Home/SesKelime/683,"a,i,e",bakiye,"ba,ki,ye"
baːliː,"baː,liː",https://sozluk.rtuk.gov.tr/Home/SesKelime/703,"a,i",baliğ,"ba,liğ"
baːɾiz,"baː,ɾiz",https://sozluk.rtuk.gov.tr/Home/SesKelime/729,"a,i",bariz,"ba,riz"
basiːɾet,"ba,siː,ɾet",https://sozluk.rtuk.gov.tr/Home/SesKelime/739,"a,i,e",basiret,"ba,si,ret"
baːtɯl,"baː,tɯl",https://sozluk.rtuk.gov.tr/Home/SesKelime/755,"a,ɯ",batıl,"ba,tıl"
baːji,"baː,ji",https://sozluk.rtuk.gov.tr/Home/SesKelime/767,"a,i",bayi,"ba,yi"
behɛɾ,"be,hɛɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/798,"e,ɛ",beher,"be,her"
belɑːɡat,"be,lɑː,ɡat",https://sozluk.rtuk.gov.tr/Home/SesKelime/819,"e,ɑ,a",belagat,"be,la,gat"
beɾaːɑt,"be,ɾa,ːɑt",https://sozluk.rtuk.gov.tr/Home/SesKelime/852,"e,a,ɑ",beraat,"be,ra,at"
bɛɾhavaː,"bɛɾ,ha,vaː",https://sozluk.rtuk.gov.tr/Home/SesKelime/869,"ɛ,a,a",berhava,"ber,ha,va"
beʃeɾiː,"be,ʃe,ɾiː",https://sozluk.rtuk.gov.tr/Home/SesKelime/893,"e,e,i",beşerî,"be,şerî"
bejannaːme,"be,jan,naː,me",https://sozluk.rtuk.gov.tr/Home/SesKelime/904,"e,a,a,e",beyanname,"be,yan,na,me"
bɛjtyɫmɑːl,"bɛj,tyɫ,mɑːl",https://sozluk.rtuk.gov.tr/Home/SesKelime/917,"ɛ,y,ɑ",beytülmal,"bey,tül,mal"
bilɑːhaɾe,"bi,lɑː,ha,ɾe",https://sozluk.rtuk.gov.tr/Home/SesKelime/961,"i,ɑ,a,e",bilahare,"bi,la,ha,re"
bilɑnt͡ʃo,"bi,lɑn,t͡ʃo",https://sozluk.rtuk.gov.tr/Home/SesKelime/965,"i,ɑ,o",bilanço,"bi,lan,ço"
biɫfiːil,"biɫ,fi,ːil",https://sozluk.rtuk.gov.tr/Home/SesKelime/975,"i,i,i",bilfiil,"bil,fi,il"
biliɫtizaːm,"bi,liɫ,ti,zaːm",https://sozluk.rtuk.gov.tr/Home/SesKelime/979,"i,i,i,a",bililtizam,"bi,lil,ti,zam"
d͡ʒaːɾiː,"d͡ʒaː,ɾiː",https://sozluk.rtuk.gov.tr/Home/SesKelime/1179,"a,i",cari,"ca,ri"
d͡ʒebɛl,"d͡ʒe,bɛl",https://sozluk.rtuk.gov.tr/Home/SesKelime/1191,"e,ɛ",cebel,"ce,bel"
d͡ʒebɾiː,"d͡ʒeb,ɾiː",https://sozluk.rtuk.gov.tr/Home/SesKelime/1201,"e,i",cebrî,cebrî
d͡ʒɛɫpnaːme,"d͡ʒɛɫp,naː,me",https://sozluk.rtuk.gov.tr/Home/SesKelime/1227,"ɛ,a,e",celpname,"celp,na,me"
d͡ʒenuːp,"d͡ʒe,nuːp",https://sozluk.rtuk.gov.tr/Home/SesKelime/1263,"e,u",cenup,"ce,nup"
d͡ʒeɾeme,"d͡ʒe,ɾe,me",https://sozluk.rtuk.gov.tr/Home/SesKelime/1271,"e,e,e",cereme,"ce,re,me"
d͡ʒevhɛɾ,"d͡ʒev,hɛɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1296,"e,ɛ",cevher,"cev,her"
d͡ʒezaː,"d͡ʒe,zaː",https://sozluk.rtuk.gov.tr/Home/SesKelime/1301,"e,a",ceza,"ce,za"
d͡ʒihet,"d͡ʒi,het",https://sozluk.rtuk.gov.tr/Home/SesKelime/1343,"i,e",cihet,"ci,het"
d͡ʒiɾo,"d͡ʒi,ɾo",https://sozluk.rtuk.gov.tr/Home/SesKelime/1367,"i,o",ciro,"ci,ro"
d͡ʒyz,d͡ʒyz,https://sozluk.rtuk.gov.tr/Home/SesKelime/1410,y,cüz,cüz
delil,"de,lil",https://sozluk.rtuk.gov.tr/Home/SesKelime/1669,"e,i",delil,"de,lil"
depozito,"de,po,zi,to",https://sozluk.rtuk.gov.tr/Home/SesKelime/1693,"e,o,i,o",depozito,"de,po,zi,to"
desiːse,"de,siː,se",https://sozluk.rtuk.gov.tr/Home/SesKelime/1740,"e,i,e",desise,"de,si,se"
edaː,"e,daː",https://sozluk.rtuk.gov.tr/Home/SesKelime/2020,"e,a",eda,"e,da"
edim,"e,dim",https://sozluk.rtuk.gov.tr/Home/SesKelime/2032,"e,i",edim,"e,dim"
ekseɾijet,"ek,se,ɾi,jet",https://sozluk.rtuk.gov.tr/Home/SesKelime/2120,"e,e,i,e",ekseriyet,"ek,se,ri,yet"
eɫfaːz,"eɫ,faːz",https://sozluk.rtuk.gov.tr/Home/SesKelime/2146,"e,a",elfaz,"el,faz"
emtia,"em,ti,a",https://sozluk.rtuk.gov.tr/Home/SesKelime/2192,"e,i,a",emtia,"em,ti,a"
emvɑːl,"em,vɑːl",https://sozluk.rtuk.gov.tr/Home/SesKelime/2193,"e,ɑ",emval,"em,val"
enfysiː,"en,fy,siː",https://sozluk.rtuk.gov.tr/Home/SesKelime/2220,"e,y,i",enfüsi,"en,fü,si"
enkaːz,"en,kaːz",https://sozluk.rtuk.gov.tr/Home/SesKelime/2231,"e,a",enkaz,"en,kaz"
eʃd͡ʒaːɾ,"eʃ,d͡ʒaːɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/2338,"e,a",eşcar,"eş,car"
eshaːm,"es,haːm",https://sozluk.rtuk.gov.tr/Home/SesKelime/2306,"e,a",esham,"es,ham"
eʃhaːs,"eʃ,haːs",https://sozluk.rtuk.gov.tr/Home/SesKelime/2341,"e,a",eşhas,"eş,has"
