word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
aʒanda,"a,ʒan,da",ajanda.wav,"a,a,a",ajanda,"a,jan,da"
aʒans,"a,ʒans",ajans.wav,"a,a",ajans,"a,jans"
aʒitasjon,"a,ʒi,tas,jon",ajitasyon.wav,"a,i,a,o",ajitasyon,"a,ji,tas,yon"
aktyalite,"ak,ty,a,li,te",aktualite.wav,"a,y,a,i,e",aktüalite,"ak,tü,a,li,te"
aktyɛl,"ak,ty,ɛl",aktuel.wav,"a,y,ɛ",aktüel,"ak,tü,el"
analitik,"a,na,li,tik",analitik.wav,"a,a,i,i",analitik,"a,na,li,tik"
animasjon,"a,ni,mas,jon",animasyon.wav,"a,i,a,o",animasyon,"a,ni,mas,yon"
ancetœɾ,"an,ce,tœɾ",anketor.wav,"a,e,œ",anketör,"an,ke,tör"
bɾoʃyɾ,"bɾo,ʃyɾ",brosur.wav,"o,y",broşür,"bro,şür"
d͡ʒenaːze,"d͡ʒe,naː,ze",cenaze.wav,"e,a,e",cenaze,"ce,na,ze"
d͡ʒoːɾafja,"d͡ʒoː,ɾaf,ja",cografya.wav,"o,a,a",coğrafya,"coğ,raf,ya"
deftɛɾ,"def,tɛɾ",defter.wav,"e,ɛ",defter,"def,ter"
demet͡ʃ,"de,met͡ʃ",demec.wav,"e,e",demeç,"de,meç"
dɛɾɡi,"dɛɾ,ɡi",dergi.wav,"ɛ,i",dergi,"der,gi"
dɛɾlɛm,"dɛɾ,lɛm",derlem.wav,"ɛ,ɛ",derlem,"der,lem"
didaktik,"di,dak,tik",didaktik.wav,"i,a,i",didaktik,"di,dak,tik"
diʒitɑl,"di,ʒi,tɑl",dijital.wav,"i,i,ɑ",dijital,"di,ji,tal"
diksijon,"dik,si,jon",diksiyon.wav,"i,i,o",diksiyon,"dik,si,yon"
docymantasjon,"do,cy,man,tas,jon",dokumantasyon.wav,"o,y,a,a,o",dokümantasyon,"do,kü,man,tas,yon"
editœɾ,"e,di,tœɾ",editor.wav,"e,i,œ",editör,"e,di,tör"
ejitim,"e,ji,tim",egitim.wav,"e,i,i",eğitim,"e,ği,tim"
eɡzɛɾsiz,"eɡ,zɛɾ,siz",egzersiz.wav,"e,ɛ,i",egzersiz,"eg,zer,siz"
habɛɾ,"ha,bɛɾ",haber.wav,"a,ɛ",haber,"ha,ber"
ʒaɾɡon,"ʒaɾ,ɡon",jargon.wav,"a,o",jargon,"jar,gon"
ʒeneɾik,"ʒe,ne,ɾik",jenerik.wav,"e,e,i",jenerik,"je,ne,rik"
kameɾa,"ka,me,ɾa",kamera.wav,"a,e,a",kamera,"ka,me,ra"
maɡazin,"ma,ɡa,zin",magazin.wav,"a,a,i",magazin,"ma,ga,zin"
makaːle,"ma,kaː,le",makale.wav,"a,a,e",makale,"ma,ka,le"
mikɾofon,"mik,ɾo,fon",mikrofon.wav,"i,o,o",mikrofon,"mik,ro,fon"
muhaːbiɾ,"mu,haː,biɾ",muhabir.wav,"u,a,i",muhabir,"mu,ha,bir"
ɾœpoɾtaʒ,"ɾœ,poɾ,taʒ",roportaj.wav,"œ,o,a",röportaj,"rö,por,taj"
sajfa,"saj,fa",sayfa.wav,"a,a",sayfa,"say,fa"
televizjon,"te,le,viz,jon",televizyon.wav,"e,e,i,o",televizyon,"te,le,viz,yon"
tematik,"te,ma,tik",tematik.wav,"e,a,i",tematik,"te,ma,tik"
temsil,"tem,sil",temsil.wav,"e,i",temsil,"tem,sil"
video,"vi,de,o",video.wav,"i,e,o",video,"vi,de,o"
vizite,"vi,zi,te",vizite.wav,"i,i,e",vizite,"vi,zi,te"
vizjon,"viz,jon",vizyon.wav,"i,o",vizyon,"viz,yon"
jajɯn,"ja,jɯn",yayin.wav,"a,ɯ",yayın,"ya,yın"
