word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
aʒanda,"a,ʒan,da",https://sozluk.rtuk.gov.tr/Home/SesKelime/158,"a,a,a",ajanda,"a,jan,da"
aʒans,"a,ʒans",https://sozluk.rtuk.gov.tr/Home/SesKelime/159,"a,a",ajans,"a,jans"
aʒitasjon,"a,ʒi,tas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/160,"a,i,a,o",ajitasyon,"a,ji,tas,yon"
aktyalite,"ak,ty,a,li,te",https://sozluk.rtuk.gov.tr/Home/SesKelime/195,"a,y,a,i,e",aktüalite,"ak,tü,a,li,te"
aktyɛl,"ak,ty,ɛl",https://sozluk.rtuk.gov.tr/Home/SesKelime/196,"a,y,ɛ",aktüel,"ak,tü,el"
analitik,"a,na,li,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/316,"a,a,i,i",analitik,"a,na,li,tik"
animasjon,"a,ni,mas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/336,"a,i,a,o",animasyon,"a,ni,mas,yon"
ancetœɾ,"an,ce,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/344,"a,e,œ",anketör,"an,ke,tör"
bɾoʃyɾ,"bɾo,ʃyɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1077,"o,y",broşür,"bro,şür"
d͡ʒenaːze,"d͡ʒe,naː,ze",https://sozluk.rtuk.gov.tr/Home/SesKelime/1252,"e,a,e",cenaze,"ce,na,ze"
d͡ʒoːɾafja,"d͡ʒoː,ɾaf,ja",https://sozluk.rtuk.gov.tr/Home/SesKelime/1378,"o,a,a",coğrafya,"coğ,raf,ya"
deftɛɾ,"def,tɛɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1641,"e,ɛ",defter,"def,ter"
demet͡ʃ,"de,met͡ʃ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1679,"e,e",demeç,"de,meç"
dɛɾɡi,"dɛɾ,ɡi",https://sozluk.rtuk.gov.tr/Home/SesKelime/1709,"ɛ,i",dergi,"der,gi"
dɛɾlɛm,"dɛɾ,lɛm",https://sozluk.rtuk.gov.tr/Home/SesKelime/1714,"ɛ,ɛ",derlem,"der,lem"
didaktik,"di,dak,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/1806,"i,a,i",didaktik,"di,dak,tik"
diʒitɑl,"di,ʒi,tɑl",https://sozluk.rtuk.gov.tr/Home/SesKelime/1818,"i,i,ɑ",dijital,"di,ji,tal"
diksijon,"dik,si,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/1822,"i,i,o",diksiyon,"dik,si,yon"
docymantasjon,"do,cy,man,tas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/1908,"o,y,a,a,o",dokümantasyon,"do,kü,man,tas,yon"
editœɾ,"e,di,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/2036,"e,i,œ",editör,"e,di,tör"
ejitim,"e,ji,tim",https://sozluk.rtuk.gov.tr/Home/SesKelime/2072,"e,i,i",eğitim,"e,ği,tim"
eɡzɛɾsiz,"eɡ,zɛɾ,siz",https://sozluk.rtuk.gov.tr/Home/SesKelime/2064,"e,ɛ,i",egzersiz,"eg,zer,siz"
habɛɾ,"ha,bɛɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/3116,"a,ɛ",haber,"ha,ber"
ʒaɾɡon,"ʒaɾ,ɡon",https://sozluk.rtuk.gov.tr/Home/SesKelime/4805,"a,o",jargon,"jar,gon"
ʒeneɾik,"ʒe,ne,ɾik",https://sozluk.rtuk.gov.tr/Home/SesKelime/4813,"e,e,i",jenerik,"je,ne,rik"
kameɾa,"ka,me,ɾa",https://sozluk.rtuk.gov.tr/Home/SesKelime/4978,"a,e,a",kamera,"ka,me,ra"
maɡazin,"ma,ɡa,zin",https://sozluk.rtuk.gov.tr/Home/SesKelime/6064,"a,a,i",magazin,"ma,ga,zin"
makaːle,"ma,kaː,le",https://sozluk.rtuk.gov.tr/Home/SesKelime/6172,"a,a,e",makale,"ma,ka,le"
mikɾofon,"mik,ɾo,fon",https://sozluk.rtuk.gov.tr/Home/SesKelime/6908,"i,o,o",mikrofon,"mik,ro,fon"
muhaːbiɾ,"mu,haː,biɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/7074,"u,a,i",muhabir,"mu,ha,bir"
ɾœpoɾtaʒ,"ɾœ,poɾ,taʒ",https://sozluk.rtuk.gov.tr/Home/SesKelime/8992,"œ,o,a",röportaj,"rö,por,taj"
sajfa,"saj,fa",https://sozluk.rtuk.gov.tr/Home/SesKelime/9272,"a,a",sayfa,"say,fa"
televizjon,"te,le,viz,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/10680,"e,e,i,o",televizyon,"te,le,viz,yon"
tematik,"te,ma,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/10703,"e,a,i",tematik,"te,ma,tik"
temsil,"tem,sil",https://sozluk.rtuk.gov.tr/Home/SesKelime/10737,"e,i",temsil,"tem,sil"
video,"vi,de,o",https://sozluk.rtuk.gov.tr/Home/SesKelime/11585,"i,e,o",video,"vi,de,o"
vizite,"vi,zi,te",https://sozluk.rtuk.gov.tr/Home/SesKelime/11610,"i,i,e",vizite,"vi,zi,te"
vizjon,"viz,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/11611,"i,o",vizyon,"viz,yon"
jajɯn,"ja,jɯn",https://sozluk.rtuk.gov.tr/Home/SesKelime/11708,"a,ɯ",yayın,"ya,yın"
