word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
abaʒuɾ,"a,ba,ʒuɾ",abajur.wav,"a,a,u",abajur,"a,ba,jur"
abandone,"a,ban,do,ne",abandone.wav,"a,a,o,e",abandone,"a,ban,do,ne"
abaːniː,"a,baː,niː",abani.wav,"a,a,i",abani,"a,ba,ni"
abdaːl,"ab,daːl",abdal.wav,"a,a",abdal,"ab,dal"
abdyɫkaːdiɾ,"ab,dyɫ,kaː,diɾ",abdulkadir.wav,"a,y,a,i",abdülkadir,"ab,dül,ka,dir"
abes,"a,bes",abes.wav,"a,e",abes,"a,bes"
aːbiː,"aː,biː",abi.wav,"a,i",abi,"a,bi"
aːbid,"aː,bid",abid.wav,"a,i",abid,"a,bid"
aːbide,"aː,bi,de",abide.wav,"a,i,e",abide,"a,bi,de"
aːbideviː,"aː,bi,de,viː",abidevi.wav,"a,i,e,i",abidevi,"a,bi,de,vi"
aːbɯhajat,"aː,bɯ,ha,jat",abihayat.wav,"a,ɯ,a,a",abıhayat,"a,bı,ha,yat"
aːbɯcevsɛɾ,"aː,bɯ,cev,sɛɾ",abikevser.wav,"a,ɯ,e,ɛ",abıkevser,"a,bı,kev,ser"
abije,"a,bi,je",abiye.wav,"a,i,e",abiye,"a,bi,ye"
abɫa,"ab,ɫa",abla.wav,"a,a",abla,"ab,la"
abɫak,"ab,ɫak",ablak.wav,"a,a",ablak,"ab,lak"
abonman,"a,bon,man",abonman.wav,"a,o,a",abonman,"a,bon,man"
abɾakadabɾa,"ab,ɾa,ka,dab,ɾa",abrakadabra.wav,"a,a,a,a,a",abrakadabra,"ab,ra,ka,dab,ra"
absoɾbe,"ab,soɾ,be",absorbe.wav,"a,o,e",absorbe,"ab,sor,be"
absyɾt,"ab,syɾt",absurt.wav,"a,y",absürt,"ab,sürt"
abus,"a,bus",abus.wav,"a,u",abus,"a,bus"
ad͡ʒabaː,"a,d͡ʒa,baː",acaba.wav,"a,a,a",acaba,"a,ca,ba"
ad͡ʒaɾ,"a,d͡ʒaɾ",acar.wav,"a,a",acar,"a,car"
ad͡ʒaːjip,"a,d͡ʒaː,jip",acayip.wav,"a,a,i",acayip,"a,ca,yip"
ad͡ʒele,"a,d͡ʒe,le",acele.wav,"a,e,e",acele,"a,ce,le"
at͡ʃeɫja,"a,t͡ʃeɫ,ja",acelya.wav,"a,e,a",açelya,"a,çel,ya"
