word_ipa,subword_ipas,audio_file,vowel_ipas,word
abaʒuɾ,"a,ba,ʒuɾ",abajur.wav,"a,a,u",abajur
abandone,"a,ban,do,ne",abandone.wav,"a,a,o,e",abandone
abaːniː,"a,baː,niː",abani.wav,"a,a,i",abani
abdaːl,"ab,daːl",abdal.wav,"a,a",abdal
abdyɫkaːdiɾ,"ab,dyɫ,kaː,diɾ",abdulkadir.wav,"a,y,a,i",abdülkadir
abes,"a,bes",abes.wav,"a,e",abes
aːbiː,"aː,biː",abi.wav,"a,i",abi
aːbid,"aː,bid",abid.wav,"a,i",abid
aːbide,"aː,bi,de",abide.wav,"a,i,e",abide
aːbideviː,"aː,bi,de,viː",abidevi.wav,"a,i,e,i",abidevi
aːbɯhajat,"aː,bɯ,ha,jat",abihayat.wav,"a,ɯ,a,a",abıhayat
aːbɯcevsɛɾ,"aː,bɯ,cev,sɛɾ",abikevser.wav,"a,ɯ,e,ɛ",abıkevser
abije,"a,bi,je",abiye.wav,"a,i,e",abiye
abɫa,"ab,ɫa",abla.wav,"a,a",abla
abɫak,"ab,ɫak",ablak.wav,"a,a",ablak
abonman,"a,bon,man",abonman.wav,"a,o,a",abonman
abɾakadabɾa,"ab,ɾa,ka,dab,ɾa",abrakadabra.wav,"a,a,a,a,a",abrakadabra
absoɾbe,"ab,soɾ,be",absorbe.wav,"a,o,e",absorbe
absyɾt,"ab,syɾt",absurt.wav,"a,y",absürt
abus,"a,bus",abus.wav,"a,u",abus
ad͡ʒabaː,"a,d͡ʒa,baː",acaba.wav,"a,a,a",acaba
ad͡ʒaɾ,"a,d͡ʒaɾ",acar.wav,"a,a",acar
ad͡ʒaːjip,"a,d͡ʒaː,jip",acayip.wav,"a,a,i",acayip
ad͡ʒele,"a,d͡ʒe,le",acele.wav,"a,e,e",acele
at͡ʃeɫja,"a,t͡ʃeɫ,ja",acelya.wav,"a,e,a",açelya
ad͡ʒemaʃiːɾan,"a,d͡ʒe,ma,ʃiː,ɾan",acemasiran.wav,"a,e,a,i,a",acemaşiran
ad͡ʒembuːselik,"a,d͡ʒem,buː,se,lik",acembuselik.wav,"a,e,u,e,i",acembuselik
ad͡ʒɛmiː,"a,d͡ʒɛ,miː",acemi.wav,"a,ɛ,i",acemi
ad͡ʒemcyɾdiː,"a,d͡ʒem,cyɾ,diː",acemkurdi.wav,"a,e,y,i",acemkürdi
ad͡ʒente,"a,d͡ʒen,te",acente.wav,"a,e,e",acente
ad͡ʒɛp,"a,d͡ʒɛp",acep.wav,"a,ɛ",acep
ad͡ʒeze,"a,d͡ʒe,ze",aceze.wav,"a,e,e",aceze
aːd͡ʒɯ,"aː,d͡ʒɯ",aci.wav,"a,ɯ",acı
ad͡ʒiːbe,"a,d͡ʒiː,be",acibe.wav,"a,i,e",acibe
aːd͡ʒil,"aː,d͡ʒil",acil.wav,"a,i",acil
aːd͡ʒilɛn,"aː,d͡ʒi,lɛn",acilen.wav,"a,i,ɛ",acilen
aːd͡ʒiz,"aː,d͡ʒiz",aciz.wav,"a,i",aciz
aːd͡ʒizaːne,"aː,d͡ʒi,zaː,ne",acizane.wav,"a,i,a,e",acizane
ad͡ʒuːːl,"a,d͡ʒuːːl",acul.wav,"a,u",acul
