word,phonetic,audio_file
a,A,https://sozluk.rtuk.gov.tr/Home/SesKelime/1
ab,A:b,https://sozluk.rtuk.gov.tr/Home/SesKelime/3
abdest,abdést,https://sozluk.rtuk.gov.tr/Home/SesKelime/15
abi,a:bi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/12129
abla,abla,https://sozluk.rtuk.gov.tr/Home/SesKelime/32
acaba,Acaba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/41
acele,acélé,https://sozluk.rtuk.gov.tr/Home/SesKelime/45
acayip,Aca:yip,https://sozluk.rtuk.gov.tr/Home/SesKelime/44
acemi,acemi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/49
acil,A:cil,https://sozluk.rtuk.gov.tr/Home/SesKelime/55
aciz,A:ciz,https://sozluk.rtuk.gov.tr/Home/SesKelime/57
ad,ad,https://sozluk.rtuk.gov.tr/Home/SesKelime/65
adalet,ada:lét,https://sozluk.rtuk.gov.tr/Home/SesKelime/68
adet,adét,https://sozluk.rtuk.gov.tr/Home/SesKelime/78
adeta,A:déta:,https://sozluk.rtuk.gov.tr/Home/SesKelime/80
adi,A:di:,https://sozluk.rtuk.gov.tr/Home/SesKelime/81
adil,‘adi:l,https://sozluk.rtuk.gov.tr/Home/SesKelime/82
aerodinamik,A⁓érodinamik,https://sozluk.rtuk.gov.tr/Home/SesKelime/88
adli,Adli:,https://sozluk.rtuk.gov.tr/Home/SesKelime/86
afet,a:fét,https://sozluk.rtuk.gov.tr/Home/SesKelime/95
ah,a:h,https://sozluk.rtuk.gov.tr/Home/SesKelime/128
ahali,Aha:li:,https://sozluk.rtuk.gov.tr/Home/SesKelime/130
ahenk,A:hénk,https://sozluk.rtuk.gov.tr/Home/SesKelime/134
ahlak,Ahlâk (Ahlâ:k-ı),https://sozluk.rtuk.gov.tr/Home/SesKelime/144
ahiret,A:hirét,https://sozluk.rtuk.gov.tr/Home/SesKelime/141
ahlaki,ahlâ:ki:,https://sozluk.rtuk.gov.tr/Home/SesKelime/147
ait,A:⁓it,https://sozluk.rtuk.gov.tr/Home/SesKelime/157
ajans,Ajans,https://sozluk.rtuk.gov.tr/Home/SesKelime/159
ajanda,Ajanda,https://sozluk.rtuk.gov.tr/Home/SesKelime/158
aidiyet,A:⁓idiyét,https://sozluk.rtuk.gov.tr/Home/SesKelime/154
aile,A:⁓ilé,https://sozluk.rtuk.gov.tr/Home/SesKelime/155
akademisyen,Akadémisyen,https://sozluk.rtuk.gov.tr/Home/SesKelime/163
akis,akis,https://sozluk.rtuk.gov.tr/Home/SesKelime/173
akordeon,Akordé⁓on,https://sozluk.rtuk.gov.tr/Home/SesKelime/179
akraba,Akraba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/178
akran,akran,https://sozluk.rtuk.gov.tr/Home/SesKelime/182
aksan,Aksan (Aksa:nı),https://sozluk.rtuk.gov.tr/Home/SesKelime/186
aksi,aksi,https://sozluk.rtuk.gov.tr/Home/SesKelime/188
aksi,aksi,https://sozluk.rtuk.gov.tr/Home/SesKelime/188
aksesuar,Aksésu⁓ar,https://sozluk.rtuk.gov.tr/Home/SesKelime/187
aktivite,Aktivité,https://sozluk.rtuk.gov.tr/Home/SesKelime/194
aktif,aktif,https://sozluk.rtuk.gov.tr/Home/SesKelime/193
ala,ala,https://sozluk.rtuk.gov.tr/Home/SesKelime/200
alaka,Alâ:ka,https://sozluk.rtuk.gov.tr/Home/SesKelime/207
alem,a:lém,https://sozluk.rtuk.gov.tr/Home/SesKelime/224
alet,A:lét,https://sozluk.rtuk.gov.tr/Home/SesKelime/235
aleyhinde,Aléyhindé,https://sozluk.rtuk.gov.tr/Home/SesKelime/239
Ali,a:li:,https://sozluk.rtuk.gov.tr/Home/SesKelime/244
ali,a:li:,https://sozluk.rtuk.gov.tr/Home/SesKelime/244
alfabe,Âlfabé,https://sozluk.rtuk.gov.tr/Home/SesKelime/246
alkol,Âlkôl,https://sozluk.rtuk.gov.tr/Home/SesKelime/254
Allah,Allah (Alla:h-ı),https://sozluk.rtuk.gov.tr/Home/SesKelime/255
alüminyum,Alüminyum,https://sozluk.rtuk.gov.tr/Home/SesKelime/268
alternatif,Âlternatif,https://sozluk.rtuk.gov.tr/Home/SesKelime/265
ama,ama,https://sozluk.rtuk.gov.tr/Home/SesKelime/271
