word,phonetic,audio_file
a,a,https://sozluk.rtuk.gov.tr/Home/SesKelime/1
ab,aːb,https://sozluk.rtuk.gov.tr/Home/SesKelime/3
abdest,abdest,https://sozluk.rtuk.gov.tr/Home/SesKelime/15
abes,abes,https://sozluk.rtuk.gov.tr/Home/SesKelime/22
abi,aːbiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/12129
abide,aːbide,https://sozluk.rtuk.gov.tr/Home/SesKelime/28
abla,abɫa,https://sozluk.rtuk.gov.tr/Home/SesKelime/32
absürt,absyɾt,https://sozluk.rtuk.gov.tr/Home/SesKelime/38
acaba,ad͡ʒabaː,https://sozluk.rtuk.gov.tr/Home/SesKelime/41
acele,ad͡ʒele,https://sozluk.rtuk.gov.tr/Home/SesKelime/45
acayip,ad͡ʒaːjip,https://sozluk.rtuk.gov.tr/Home/SesKelime/44
acente,ad͡ʒente,https://sozluk.rtuk.gov.tr/Home/SesKelime/51
acemi,ad͡ʒɛmiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/49
acil,aːd͡ʒil,https://sozluk.rtuk.gov.tr/Home/SesKelime/55
acilen,aːd͡ʒilɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/56
aciz,aːd͡ʒiz,https://sozluk.rtuk.gov.tr/Home/SesKelime/57
ad,ad,https://sozluk.rtuk.gov.tr/Home/SesKelime/65
adale,adale,https://sozluk.rtuk.gov.tr/Home/SesKelime/67
adalet,adaːlet,https://sozluk.rtuk.gov.tr/Home/SesKelime/68
adaptasyon,adaptasjon,https://sozluk.rtuk.gov.tr/Home/SesKelime/71
adet,adet,https://sozluk.rtuk.gov.tr/Home/SesKelime/78
adeta,aːdetaː,https://sozluk.rtuk.gov.tr/Home/SesKelime/80
adi,aːdiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/81
adil,‘adiːl,https://sozluk.rtuk.gov.tr/Home/SesKelime/82
aerodinamik,a‿eɾodinamik,https://sozluk.rtuk.gov.tr/Home/SesKelime/88
adli,adliː,https://sozluk.rtuk.gov.tr/Home/SesKelime/86
afet,aːfet,https://sozluk.rtuk.gov.tr/Home/SesKelime/95
affetmek,affetmek,https://sozluk.rtuk.gov.tr/Home/SesKelime/98
afiyet,aːfijet,https://sozluk.rtuk.gov.tr/Home/SesKelime/104
agresif,aɡɾesif,https://sozluk.rtuk.gov.tr/Home/SesKelime/112
ağaç,aːt͡ʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/116
ağ,aː,https://sozluk.rtuk.gov.tr/Home/SesKelime/113
ağabey,aːbej,https://sozluk.rtuk.gov.tr/Home/SesKelime/115
ağırlamak,aːɾɫamak,https://sozluk.rtuk.gov.tr/Home/SesKelime/120
ağlamak,aːɫamak,https://sozluk.rtuk.gov.tr/Home/SesKelime/123
ağrı,aːɾɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/124
ağıt,aːt,https://sozluk.rtuk.gov.tr/Home/SesKelime/121
ağız,aːz,https://sozluk.rtuk.gov.tr/Home/SesKelime/122
ağır,aːɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/119
