word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
adaptasjon,"a,dap,tas,jon",adaptasyon.wav,"a,a,a,o",adaptasyon,"a,dap,tas,yon"
afiʃe,"a,fi,ʃe",afise.wav,"a,i,e",afişe,"a,fi,şe"
aʒitasjon,"a,ʒi,tas,jon",ajitasyon.wav,"a,i,a,o",ajitasyon,"a,ji,tas,yon"
aktyalite,"ak,ty,a,li,te",aktualite.wav,"a,y,a,i,e",aktüalite,"ak,tü,a,li,te"
aktyɛl,"ak,ty,ɛl",aktuel.wav,"a,y,ɛ",aktüel,"ak,tü,el"
akustik,"a,kus,tik",akustik.wav,"a,u,i",akustik,"a,kus,tik"
aɫatuɾka,"a,ɫa,tuɾ,ka",alaturka.wav,"a,a,u,a",alaturka,"a,la,tur,ka"
aːlɑːjiʃ,"aː,lɑː,jiʃ",alayis.wav,"a,ɑ,i",alayiş,"a,la,yiş"
aleɡoɾi,"a,le,ɡo,ɾi",alegori.wav,"a,e,o,i",alegori,"a,le,go,ri"
amatœɾ,"a,ma,tœɾ",amator.wav,"a,a,œ",amatör,"a,ma,tör"
animasjon,"a,ni,mas,jon",animasyon.wav,"a,i,a,o",animasyon,"a,ni,mas,yon"
animatœɾ,"a,ni,ma,tœɾ",animator.wav,"a,i,a,œ",animatör,"a,ni,ma,tör"
antoloːʒi,"an,to,loː,ʒi",antoloji.wav,"a,o,o,i",antoloji,"an,to,lo,ji"
aɾanʒman,"a,ɾanʒ,man",aranjman.wav,"a,a,a",aranjman,"a,ranj,man"
aɾanʒœɾ,"a,ɾan,ʒœɾ",aranjor.wav,"a,a,œ",aranjör,"a,ran,jör"
aɾtist,"aɾ,tist",artist.wav,"a,i",artist,"ar,tist"
asaɫak,"a,sa,ɫak",asalak.wav,"a,a,a",asalak,"a,sa,lak"
atœɫje,"a,tœɫ,je",atolye.wav,"a,œ,e",atölye,"a,töl,ye"
baleɾin,"ba,le,ɾin",balerin.wav,"a,e,i",balerin,"ba,le,rin"
balet,"ba,let",balet.wav,"a,e",balet,"ba,let"
baɫo,"ba,ɫo",balo.wav,"a,o",balo,"ba,lo"
baʃɾoːl,"baʃ,ɾoːl",basrol.wav,"a,o",başrol,"baş,rol"
bɾoʃyɾ,"bɾo,ʃyɾ",brosur.wav,"o,y",broşür,"bro,şür"
d͡ʒemijet,"d͡ʒe,mi,jet",cemiyet.wav,"e,i,e",cemiyet,"ce,mi,yet"
d͡ʒymle,"d͡ʒym,le",cumle.wav,"y,e",cümle,"cüm,le"
didaktik,"di,dak,tik",didaktik.wav,"i,a,i",didaktik,"di,dak,tik"
diksijon,"dik,si,jon",diksiyon.wav,"i,i,o",diksiyon,"dik,si,yon"
dublɑʒ,"dub,lɑʒ",dublaj.wav,"u,ɑ",dublaj,"dub,laj"
dyet,"dy,et",duet.wav,"y,e",düet,"dü,et"
editœɾ,"e,di,tœɾ",editor.wav,"e,i,œ",editör,"e,di,tör"
efekt,"e,fekt",efekt.wav,"e,e",efekt,"e,fekt"
efsaːne,"ef,saː,ne",efsane.wav,"e,a,e",efsane,"ef,sa,ne"
eɡzɛɾsiz,"eɡ,zɛɾ,siz",egzersiz.wav,"e,ɛ,i",egzersiz,"eg,zer,siz"
ʒaɾɡon,"ʒaɾ,ɡon",jargon.wav,"a,o",jargon,"jar,gon"
ʒeneɾik,"ʒe,ne,ɾik",jenerik.wav,"e,e,i",jenerik,"je,ne,rik"
makaːle,"ma,kaː,le",makale.wav,"a,a,e",makale,"ma,ka,le"
muhaːbiɾ,"mu,haː,biɾ",muhabir.wav,"u,a,i",muhabir,"mu,ha,bir"
ɾœpoɾtaʒ,"ɾœ,poɾ,taʒ",roportaj.wav,"œ,o,a",röportaj,"rö,por,taj"
televizjon,"te,le,viz,jon",televizyon.wav,"e,e,i,o",televizyon,"te,le,viz,yon"
temsil,"tem,sil",temsil.wav,"e,i",temsil,"tem,sil"
video,"vi,de,o",video.wav,"i,e,o",video,"vi,de,o"
jajɯn,"ja,jɯn",yayin.wav,"a,ɯ",yayın,"ya,yın"
