word,meaning
açık oturum,Bir konu üzerinde yapılan halka açık tartışma.
adaptasyon,"Uyarlama, başka bir dile ya da ortama uygun hale getirme."
afişe,Gizli bir durumu ortaya çıkarma.
ajitasyon,Duygusal olarak kışkırtma.
aktüalite,Güncel olay ya da durum.
aktüel,"Çağdaş, güncel olan."
akustik,"Sesle ilgili olan, yankı bilimle ilgili."
alafranga,"Batı tarzı, Avrupai."
alaturka,"Doğu, geleneksel Türk tarzı."
alayiş,"Gösterişli, abartılı görünüş."
alegori,Simgesel anlatım yolu.
amatör,Meslek dışı olarak yapılan etkinlik.
animasyon,Hareketli görsel canlandırma.
animatör,Animasyon sunan kişi.
antoloji,Seçme eserler topluluğu.
aranjman,Müzik düzenlemesi.
aranjör,Müziği düzenleyen kişi.
artist,"Sanatçı, sahne veya sinema oyuncusu."
asalak,Başka canlıların kaynaklarıyla geçinen canlı.
asıl,"Gerçek olan, esas olan."
asistan,Yardımcı eleman.
atölye,Sanat ya da meslek eğitiminin yapıldığı yer.
balerin,Kadın bale sanatçısı.
balet,Erkek bale sanatçısı.
balo,"Gece eğlencesi, danslı toplantı."
başrol,Oyundaki en önemli rol.
brifing,Kısa ve öz bilgi toplantısı.
broşür,Tanıtıcı küçük kitapçık.
cemiyet,Toplum ya da dernek yapısı.
cümle,Anlamlı söz dizisi.
diksiyon,"Doğru, etkili ve anlaşılır konuşma sanatı."
didaktik,Öğretici nitelikte olan.
dramatik,Duygusal etki yaratan.
dramaturg,Tiyatro yapıtlarını sahneye uyarlayan kişi.
dublaj,Yabancı dildeki filmlere seslendirme.
düet,İki kişinin birlikte söylediği şarkı.
editör,Yazıları yayına hazırlayan kişi.
egzersiz,Beden hareketleriyle yapılan alıştırma.
efsane,"Efsaneleşmiş, anlatılan olağanüstü olay."
efekt,Görsel ya da işitsel etki.
grafiker,Grafik tasarımı yapan kişi.
jargon,Mesleki özel terim ya da dil.
jenerik,Dizi/film açılış ve kapanış yazıları.
makale,Bilimsel ya da düşünsel yazı.
muhabir,Haber toplayıp ileten gazeteci.
röportaj,Görüşme yoluyla yapılan haber.
spiker,Haber sunan kişi.
temsil,Birini ya da kurumu temsil etme.
televizyon,Görüntülü yayın aracı.
video,Görüntü kaydı.
yayın,Her türlü bilgi iletimi.
