word_ipa,subword_ipas,audio_file,vowel_ipas,word,subword_string
adaptasjon,"a,dap,tas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/71,"a,a,a,o",adaptasyon,"a,dap,tas,yon"
afiʃe,"a,fi,ʃe",https://sozluk.rtuk.gov.tr/Home/SesKelime/102,"a,i,e",afişe,"a,fi,şe"
aʒitasjon,"a,ʒi,tas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/160,"a,i,a,o",ajitasyon,"a,ji,tas,yon"
aktyalite,"ak,ty,a,li,te",https://sozluk.rtuk.gov.tr/Home/SesKelime/195,"a,y,a,i,e",aktüalite,"ak,tü,a,li,te"
aktyɛl,"ak,ty,ɛl",https://sozluk.rtuk.gov.tr/Home/SesKelime/196,"a,y,ɛ",aktüel,"ak,tü,el"
akustik,"a,kus,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/198,"a,u,i",akustik,"a,kus,tik"
aɫatuɾka,"a,ɫa,tuɾ,ka",https://sozluk.rtuk.gov.tr/Home/SesKelime/214,"a,a,u,a",alaturka,"a,la,tur,ka"
aːlɑːjiʃ,"aː,lɑː,jiʃ",https://sozluk.rtuk.gov.tr/Home/SesKelime/215,"a,ɑ,i",alayiş,"a,la,yiş"
aleɡoɾi,"a,le,ɡo,ɾi",https://sozluk.rtuk.gov.tr/Home/SesKelime/218,"a,e,o,i",alegori,"a,le,go,ri"
amatœɾ,"a,ma,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/275,"a,a,œ",amatör,"a,ma,tör"
animasjon,"a,ni,mas,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/336,"a,i,a,o",animasyon,"a,ni,mas,yon"
animatœɾ,"a,ni,ma,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/337,"a,i,a,œ",animatör,"a,ni,ma,tör"
antoloːʒi,"an,to,loː,ʒi",https://sozluk.rtuk.gov.tr/Home/SesKelime/358,"a,o,o,i",antoloji,"an,to,lo,ji"
aɾanʒman,"a,ɾanʒ,man",https://sozluk.rtuk.gov.tr/Home/SesKelime/381,"a,a,a",aranjman,"a,ranj,man"
aɾanʒœɾ,"a,ɾan,ʒœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/382,"a,a,œ",aranjör,"a,ran,jör"
aɾtist,"aɾ,tist",https://sozluk.rtuk.gov.tr/Home/SesKelime/417,"a,i",artist,"ar,tist"
asaɫak,"a,sa,ɫak",https://sozluk.rtuk.gov.tr/Home/SesKelime/436,"a,a,a",asalak,"a,sa,lak"
atœɫje,"a,tœɫ,je",https://sozluk.rtuk.gov.tr/Home/SesKelime/537,"a,œ,e",atölye,"a,töl,ye"
baleɾin,"ba,le,ɾin",https://sozluk.rtuk.gov.tr/Home/SesKelime/700,"a,e,i",balerin,"ba,le,rin"
balet,"ba,let",https://sozluk.rtuk.gov.tr/Home/SesKelime/701,"a,e",balet,"ba,let"
baɫo,"ba,ɫo",https://sozluk.rtuk.gov.tr/Home/SesKelime/706,"a,o",balo,"ba,lo"
baʃɾoːl,"baʃ,ɾoːl",https://sozluk.rtuk.gov.tr/Home/SesKelime/750,"a,o",başrol,"baş,rol"
bɾoʃyɾ,"bɾo,ʃyɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1077,"o,y",broşür,"bro,şür"
d͡ʒemijet,"d͡ʒe,mi,jet",https://sozluk.rtuk.gov.tr/Home/SesKelime/1244,"e,i,e",cemiyet,"ce,mi,yet"
d͡ʒymle,"d͡ʒym,le",https://sozluk.rtuk.gov.tr/Home/SesKelime/12426,"y,e",cümle,"cüm,le"
didaktik,"di,dak,tik",https://sozluk.rtuk.gov.tr/Home/SesKelime/1806,"i,a,i",didaktik,"di,dak,tik"
diksijon,"dik,si,jon",https://sozluk.rtuk.gov.tr/Home/SesKelime/1822,"i,i,o",diksiyon,"dik,si,yon"
dublɑʒ,"dub,lɑʒ",https://sozluk.rtuk.gov.tr/Home/SesKelime/1925,"u,ɑ",dublaj,"dub,laj"
dyet,"dy,et",https://sozluk.rtuk.gov.tr/Home/SesKelime/1944,"y,e",düet,"dü,et"
editœɾ,"e,di,tœɾ",https://sozluk.rtuk.gov.tr/Home/SesKelime/2036,"e,i,œ",editör,"e,di,tör"
