path,phonemes
hakim.wav,hâkim h aː c i m
kaba.wav,kabâ k a b a
kisioglu.wav,kişioğlu c i ʃ i oː ɫ u
esk.wav,eşk e ʃ k
hafif.wav,hafif h a f i f
vira.wav,vira v i ɾ a
huruf.wav,huruf h u ɾ uː f
farimak.wav,farımak f a ɾ ɯ m a k
sarj.wav,şarj ʃ a ɾ ʒ
harika.wav,harika h aː ɾ i k a
sark.wav,şark ʃ a ɾ k
mulkiye.wav,mülkiye m y ɫ c i j e
himaye.wav,himaye h i m aː j e
karafa.wav,karafa k a ɾ a f a
vakfe.wav,vakfe v a k f e
gurup.wav,gurup ɡ u ɾ uː p
fuhus.wav,fuhuş f u h u ʃ
koyak.wav,koyak k o j a k
biperva.wav,biperva b iː p ɛ ɾ v aː
meyve.wav,meyve m e j v e
parlak.wav,parlak p a ɾ ɫ a k
rakam.wav,rakam ɾ a k a m
muserref.wav,müşerref m y ʃ e ɾ ɾ e f
ampirik.wav,ampirik a m p i ɾ i k
behimi.wav,behimi b e h iː m iː
hukuk.wav,hukuk h u k uː k
agabey.wav,ağabey aː b e j
kumar.wav,kumar k u m a ɾ
govermek.wav,gövermek ɡ œ v ɛ ɾ m e k
bihaber.wav,bihaber b iː h a b ɛ ɾ
ibik.wav,ibik i b i k
baki.wav,bâkî b aː c i
garbi.wav,garbi ɡ a ɾ b iː
ikramiye.wav,ikramiye i k ɾ aː m i j e
sehriyar.wav,şehriyar ʃ e h ɾ i j aː ɾ
korelmek.wav,körelmek c œ ɾ ɛ ɫ m e k
eskiya.wav,eşkıya e ʃ k ɯ j aː
peyke.wav,peyke p e j c e
evvelki.wav,evvelki e v v ɛ ɫ c i
kubbe.wav,kubbe k u b b e
muheyya.wav,müheyya m y h e j j aː
pis.wav,piş p iː ʃ
serare.wav,şerare ʃ e ɾ aː ɾ e
pir.wav,pir p iː ɾ
yave.wav,yave j aː v e
faras.wav,faraş f a ɾ a ʃ
revak.wav,revak ɾ e v aː k
hemsehri.wav,hemşehri h e m ʃ e h ɾ i
fukara.wav,fukara f u k a ɾ aː
imha.wav,imha i m h aː
balo.wav,balo b a ɫ o
uvey.wav,üvey y v e j
avare.wav,avare aː v aː ɾ e
va.wav,va v aː h a j f aː
im.wav,im i m
hurra.wav,hurra h u ɾ ɾ aː
ehibba.wav,ehibba e h i b b aː
kargir.wav,kârgir c aː ɾ ɡ i ɾ
yahsi.wav,yahşi j a h ʃ iː
hasiye.wav,haşiye h aː ʃ i j e
kargis.wav,kargış k a ɾ ɡ ɯ ʃ
ilmik.wav,ilmik i ɫ m i k
rebiyulahir.wav,rebiyülahir ɾ ɛ b iː j y ɫ aː h i ɾ
habip.wav,habip h a b iː p
ham.wav,ham h a m
ruh.wav,ruh ɾ u h
sar.wav,şar ʃ aː ɾ
ikrah.wav,ikrah i k ɾ a h
ifsa.wav,ifşa i f ʃ aː
layik.wav,layık ɫ aː j ɯ k
brosur.wav,broşür b ɾ o ʃ y ɾ
sua.wav,şua ʃ u aː
savkima.wav,şavkıma ʃ a v k ɯ m a
baba.wav,baba b a b a
kameriye.wav,kameriye k a m e ɾ i j e
makam.wav,makam m a k a m
mihrak.wav,mihrak m i h ɾ aː k
ibre.wav,ibre i b ɾ e
serha.wav,şerha ʃ ɛ ɾ h aː
brove.wav,bröve b ɾ œ v e
kirim.wav,kırım k ɯ ɾ ɯ m
ufak.wav,ufak u f a k
mefhum.wav,mefhum m e f h uː m
eyer.wav,eyer e j ɛ ɾ
film.wav,film f i ɫ m
sifre.wav,şifre ʃ i f ɾ e
gabari.wav,gabari ɡ a b a ɾ i
humor.wav,humor h u m o ɾ
vahi.wav,vahi v aː h iː
bayii.wav,bayii b aː j i i
kubur.wav,kubur k u b u ɾ
biyografi.wav,biyografi b i j o ɡ ɾ a f i
egik.wav,eğik e j i k
menfi.wav,menfi m e ŋ f iː
maseri.wav,maşeri m aː ʃ e ɾ iː
vallahi.wav,vallahi v a ɫ ɫ aː h i
fikri.wav,fikri f i k ɾ i
