path,phonemes
defne.wav,defne spn
meyyal.wav,meyyal spn
defile.wav,defile spn
heves.wav,heves spn
hakim.wav,hâkim h aː c i m
misvak.wav,misvak spn
maktul.wav,maktul spn
mevta.wav,mevta spn
pirana.wav,pirana spn
rehavet.wav,rehavet spn
fikdan.wav,fıkdan spn
kalin.wav,kalın spn
katetmek.wav,katetmek spn
tersane.wav,tersane spn
ibda.wav,ibda spn
tema.wav,tema spn
cagildamak.wav,çağıldamak spn
siyaset.wav,siyaset spn
kaba.wav,kabâ k a b a
mazhariyet.wav,mazhariyet spn
kitabe_i.wav,kitabe-i spn
muptezel.wav,müptezel spn
teklif.wav,teklif spn
dinar.wav,dinar spn
teenni.wav,teenni spn
turbulans.wav,türbülans spn
uhuvvet.wav,uhuvvet spn
teshirat.wav,teşhirat spn
tensip.wav,tensip spn
ma_kes.wav,ma'kes spn
kisioglu.wav,kişioğlu c i ʃ i oː ɫ u
nezaret.wav,nezaret spn
universal.wav,üniversal spn
kiblegah.wav,kıblegâh spn
esk.wav,eşk e ʃ k
nebi.wav,nebi spn
mahsusiyet.wav,mahsusiyet spn
dereke.wav,dereke spn
mahsul.wav,mahsul spn
imtiyaz.wav,imtiyaz spn
travers.wav,travers spn
mesacid.wav,mesacid spn
kampana.wav,kampana spn
rasyonalizm.wav,rasyonalizm spn
zarafet.wav,zarafet spn
cumhur.wav,cumhur spn
hafif.wav,hafif h a f i f
usturuplu.wav,usturuplu spn
vira.wav,vira v i ɾ a
temyiz.wav,temyiz spn
taflan.wav,taflan spn
galib_i.wav,galib-i spn
voltaj.wav,voltaj spn
taarruz.wav,taarruz spn
fanus.wav,fanus spn
fettane.wav,fettane spn
cefakar.wav,cefakâr spn
destani.wav,destani spn
gidegen.wav,gideğen spn
purnese.wav,pürneşe spn
hipotez.wav,hipotez spn
sulale.wav,sülale spn
dem.wav,dem spn
ebruli.wav,ebruli spn
cerci.wav,çerçi spn
ziyankar.wav,ziyankâr spn
palyaco.wav,palyaço spn
sampiyon.wav,şampiyon spn
muvazi.wav,muvazi spn
yoz.wav,yoz spn
telesekreter.wav,telesekreter spn
tetkik.wav,tetkik spn
dekoratif.wav,dekoratif spn
dilsikar.wav,dilsikâr spn
sulasi.wav,sülasi spn
cife:.wav,cife spn
ergen.wav,ergen spn
ceylan.wav,ceylan spn
huruf.wav,huruf h u ɾ uː f
sehamet.wav,şehamet spn
pir_i.wav,pir i p iː ɾ spn
ummet.wav,ümmet spn
hevenk.wav,hevenk spn
arazi.wav,arazi spn
tarhun.wav,tarhun spn
alkol.wav,alkol spn
selatin.wav,selatin spn
sukunet.wav,sükûnet spn
ehlikubur.wav,ehlikubur spn
briket.wav,briket spn
gerilim.wav,gerilim spn
konfeti.wav,konfeti spn
biblo.wav,biblo spn
fisk.wav,fısk spn
farimak.wav,farımak f a ɾ ɯ m a k
basmahane.wav,basmahane spn
muktezi.wav,muktezi spn
sarj.wav,şarj ʃ a ɾ ʒ
nisadir.wav,nişadır spn
demagog.wav,demagog spn
ziyade.wav,ziyade spn
antrenman.wav,antrenman spn
padok.wav,padok spn
harika.wav,harika h aː ɾ i k a
mecburen.wav,mecburen spn
hodpesent.wav,hodpesent spn
duver.wav,düver spn
efrad_i.wav,efrad-ı spn
mesveret.wav,meşveret spn
acayip.wav,acayip spn
namaglup.wav,namağlup spn
sark.wav,şark ʃ a ɾ k
aptal.wav,aptal spn
fasik.wav,fasık spn
transparan.wav,transparan spn
cinas.wav,cinas spn
namurad.wav,namurad spn
suspansiyon.wav,süspansiyon spn
hasilikelam.wav,hasılıkelam spn
tekel.wav,tekel spn
tavir.wav,tavır spn
muskat.wav,müskat spn
mulkiye.wav,mülkiye m y ɫ c i j e
himaye.wav,himaye h i m aː j e
mutevekkilen.wav,mütevekkilen spn
zihniyet.wav,zihniyet spn
hukumet.wav,hukûmet spn
karafa.wav,karafa k a ɾ a f a
vakfe.wav,vakfe v a k f e
deterjan.wav,deterjan spn
tecimen.wav,tecimen spn
col.wav,çöl spn
barones.wav,barones spn
blok.wav,blok spn
gurup.wav,gurup ɡ u ɾ uː p
usulden.wav,usulden spn
enhar.wav,enhar spn
et.wav,et spn
kurban.wav,kurban spn
ayal.wav,ayal spn
kun.wav,kün spn
nurudidem.wav,nurudidem spn
ile.wav,ile spn
babayani.wav,babayani spn
israr.wav,ısrar spn
teveccuhkar.wav,teveccuhkâr spn
nifak.wav,nifak spn
zit.wav,zıt spn
istilah.wav,ıstılah spn
giyabinda.wav,gıyabında spn
escar.wav,eşcar spn
tamim.wav,tamim spn
seyirci.wav,seyirci spn
casus.wav,casus spn
fuhus.wav,fuhuş f u h u ʃ
iksa.wav,iksa spn
sabit.wav,sabit spn
koyak.wav,koyak k o j a k
biperva.wav,biperva b iː p ɛ ɾ v aː
multezim.wav,mültezim spn
vacibe.wav,vacibe spn
lejyoner.wav,lejyoner spn
mesul.wav,mesul spn
guzergah.wav,guzergâh spn
istiha.wav,iştiha spn
yavan.wav,yavan spn
isgaliye.wav,işgaliye spn
sevahil.wav,sevahil spn
milli.wav,millî spn
yanilsama.wav,yanılsama spn
hemcins.wav,hemcins spn
noksan.wav,noksan spn
sikayet.wav,şikâyet spn
un.wav,un spn
mesum.wav,meşum spn
kezalik.wav,kezalik spn
tahtirevan.wav,tahtırevan spn
turuncu.wav,turuncu spn
