audio_path,words,phonemes,timestamps
hakim.wav,hâkim,h aː c i m,"[(0.38, 0.51), (0.51, 0.69), (0.69, 0.81), (0.81, 0.88), (0.88, 1.04)]"
kaba.wav,kabâ,k a b a,"[(0.31, 0.39), (0.39, 0.52), (0.52, 0.53), (0.53, 0.8)]"
kisioglu.wav,kişioğlu,c i ʃ i oː ɫ u,"[(0.41, 0.51), (0.51, 0.55), (0.55, 0.69), (0.69, 0.74), (0.74, 1.0), (1.0, 1.01), (1.01, 1.15)]"
esk.wav,eşk,e ʃ k,"[(0.49, 0.62), (0.62, 0.78), (0.78, 0.94)]"
hafif.wav,hafif,h a f i f,"[(0.99, 1.07), (1.07, 1.14), (1.14, 1.23), (1.23, 1.29), (1.29, 1.45)]"
vira.wav,vira,v i ɾ a,"[(0.45, 0.46), (0.46, 0.61), (0.61, 0.7), (0.7, 0.83)]"
huruf.wav,huruf,h u ɾ uː f,"[(0.4, 0.5), (0.5, 0.75), (0.75, 0.76), (0.76, 0.81), (0.81, 1.05)]"
farimak.wav,farımak,f a ɾ ɯ m a k,"[(0.39, 0.51), (0.51, 0.61), (0.61, 0.62), (0.62, 0.72), (0.72, 0.77), (0.77, 0.92), (0.92, 1.08)]"
sarj.wav,şarj,ʃ a ɾ ʒ,"[(0.32, 0.5), (0.5, 0.69), (0.69, 0.7), (0.7, 0.86)]"
harika.wav,harika,h aː ɾ i k a,"[(0.26, 0.51), (0.51, 0.69), (0.69, 0.7), (0.7, 0.81), (0.81, 0.9), (0.9, 1.2)]"
sark.wav,şark,ʃ a ɾ k,"[(0.34, 0.49), (0.49, 0.62), (0.62, 0.7), (0.7, 0.89)]"
mulkiye.wav,mülkiye,m y ɫ c i j e,"[(0.45, 0.52), (0.52, 0.68), (0.68, 0.7), (0.7, 0.8), (0.8, 0.83), (0.83, 0.98), (0.98, 1.08)]"
himaye.wav,himaye,h i m aː j e,"[(0.6, 0.62), (0.62, 0.66), (0.66, 0.73), (0.73, 0.84), (0.84, 0.94), (0.94, 1.09)]"
karafa.wav,karafa,k a ɾ a f a,"[(0.46, 0.55), (0.55, 0.65), (0.65, 0.66), (0.66, 0.76), (0.76, 0.86), (0.86, 1.1)]"
vakfe.wav,vakfe,v a k f e,"[(0.44, 0.51), (0.51, 0.64), (0.64, 0.69), (0.69, 0.78), (0.78, 0.96)]"
gurup.wav,gurup,ɡ u ɾ uː p,"[(0.47, 0.5), (0.5, 0.59), (0.59, 0.6), (0.6, 0.86), (0.86, 0.95)]"
fuhus.wav,fuhuş,f u h u ʃ,"[(0.35, 0.5), (0.5, 0.68), (0.68, 0.69), (0.69, 0.73), (0.73, 0.96)]"
koyak.wav,koyak,k o j a k,"[(0.42, 0.52), (0.52, 0.59), (0.59, 0.69), (0.69, 0.83), (0.83, 1.0)]"
biperva.wav,biperva,b iː p ɛ ɾ v aː,"[(0.46, 0.52), (0.52, 0.73), (0.73, 0.79), (0.79, 0.94), (0.94, 0.95), (0.95, 1.01), (1.01, 1.37)]"
meyve.wav,meyve,m e j v e,"[(0.8, 0.9), (0.9, 0.94), (0.94, 1.14), (1.14, 1.15), (1.15, 1.35)]"
parlak.wav,parlak,p a ɾ ɫ a k,"[(0.47, 0.54), (0.54, 0.68), (0.68, 0.69), (0.69, 0.82), (0.82, 1.0), (1.0, 1.14)]"
rakam.wav,rakam,ɾ a k a m,"[(0.32, 0.33), (0.33, 0.45), (0.45, 0.52), (0.52, 0.62), (0.62, 0.68)]"
muserref.wav,müşerref,m y ʃ e ɾ ɾ e f,"[(0.47, 0.53), (0.53, 0.58), (0.58, 0.69), (0.69, 0.79), (0.79, 0.82), (0.82, 0.83), (0.83, 0.97), (0.97, 1.18)]"
ampirik.wav,ampirik,a m p i ɾ i k,"[(0.48, 0.63), (0.63, 0.7), (0.7, 0.75), (0.75, 0.82), (0.82, 0.83), (0.83, 0.92), (0.92, 1.08)]"
behimi.wav,behimi,b e h iː m iː,"[(0.48, 0.49), (0.49, 0.58), (0.58, 0.59), (0.59, 0.85), (0.85, 0.9), (0.9, 1.17)]"
hukuk.wav,hukuk,h u k uː k,"[(0.99, 1.06), (1.06, 1.14), (1.14, 1.21), (1.21, 1.34), (1.34, 1.37)]"
agabey.wav,ağabey,aː b e j,"[(0.48, 0.74), (0.74, 0.75), (0.75, 0.8), (0.8, 0.93)]"
kumar.wav,kumar,k u m a ɾ,"[(0.4, 0.5), (0.5, 0.56), (0.56, 0.61), (0.61, 0.8), (0.8, 0.99)]"
govermek.wav,gövermek,ɡ œ v ɛ ɾ m e k,"[(0.46, 0.53), (0.53, 0.67), (0.67, 0.68), (0.68, 0.74), (0.74, 0.88), (0.88, 0.93), (0.93, 1.08), (1.08, 1.25)]"
bihaber.wav,bihaber,b iː h a b ɛ ɾ,"[(0.47, 0.48), (0.48, 0.64), (0.64, 0.73), (0.73, 0.86), (0.86, 0.87), (0.87, 1.03), (1.03, 1.2)]"
ibik.wav,ibik,i b i k,"[(0.46, 0.61), (0.61, 0.62), (0.62, 0.75), (0.75, 0.96)]"
baki.wav,bâkî,b aː c i,"[(0.61, 0.7), (0.7, 0.95), (0.95, 1.06), (1.06, 1.3)]"
garbi.wav,garbi,ɡ a ɾ b iː,"[(0.47, 0.52), (0.52, 0.68), (0.68, 0.78), (0.78, 0.79), (0.79, 1.03)]"
ikramiye.wav,ikramiye,i k ɾ aː m i j e,"[(0.47, 0.57), (0.57, 0.67), (0.67, 0.68), (0.68, 0.86), (0.86, 0.92), (0.92, 0.96), (0.96, 1.04), (1.04, 1.28)]"
sehriyar.wav,şehriyar,ʃ e h ɾ i j aː ɾ,"[(0.37, 0.48), (0.48, 0.57), (0.57, 0.58), (0.58, 0.59), (0.59, 0.74), (0.74, 0.85), (0.85, 1.02), (1.02, 1.18)]"
korelmek.wav,körelmek,c œ ɾ ɛ ɫ m e k,"[(0.44, 0.54), (0.54, 0.65), (0.65, 0.66), (0.66, 0.84), (0.84, 0.85), (0.85, 0.91), (0.91, 1.04), (1.04, 1.25)]"
eskiya.wav,eşkıya,e ʃ k ɯ j aː,"[(0.48, 0.58), (0.58, 0.68), (0.68, 0.75), (0.75, 0.82), (0.82, 0.92), (0.92, 1.21)]"
peyke.wav,peyke,p e j c e,"[(0.47, 0.52), (0.52, 0.57), (0.57, 0.7), (0.7, 0.83), (0.83, 1.01)]"
evvelki.wav,evvelki,e v v ɛ ɫ c i,"[(0.49, 0.66), (0.66, 0.67), (0.67, 0.68), (0.68, 0.74), (0.74, 0.92), (0.92, 1.03), (1.03, 1.26)]"
kubbe.wav,kubbe,k u b b e,"[(0.41, 0.5), (0.5, 0.68), (0.68, 0.69), (0.69, 0.7), (0.7, 1.1)]"
muheyya.wav,müheyya,m y h e j j aː,"[(0.45, 0.51), (0.51, 0.56), (0.56, 0.57), (0.57, 0.71), (0.71, 0.81), (0.81, 0.91), (0.91, 1.14)]"
pis.wav,piş,p iː ʃ,"[(0.34, 0.43), (0.43, 0.62), (0.62, 0.87)]"
