path,phonemes
ampirik.wav,ampirik a m p i ɾ i k
agabey.wav,ağabey aː b e j
avare.wav,avare aː v aː ɾ e
baba.wav,baba b a b a
ablak.wav,ablak a b ɫ a k
akvaryum.wav,akvaryum a k v a ɾ j u m
ah.wav,ah aː h
akik.wav,akik a c iː k
ayyuk.wav,ayyuk a j j uː k
agorafobi.wav,agorafobi a ɡ o ɾ a f o b i
afife.wav,afife a f iː f e
afise.wav,afişe a f i ʃ e
abajur.wav,abajur a b a ʒ u ɾ
ayar.wav,ayar a j a ɾ
ayyar.wav,ayyar a j j aː ɾ
ayyas.wav,ayyaş a j j a ʃ
ayrim.wav,ayrım a j ɾ ɯ m
amfora.wav,amfora a m f o ɾ a
amma.wav,amma a m m aː
asagi.wav,aşağı a ʃ aː
afif.wav,afif a f iː f
akim.wav,akim a c iː m
asar.wav,aşar aː ʃ aː ɾ
aglamak.wav,ağlamak aː ɫ a m a k
avam.wav,avam a v a m
ahbap.wav,ahbap a h b a p
asure.wav,aşure a ʃ uː ɾ e
abla.wav,abla a b ɫ a
ayak.wav,ayak a j a k
bag.wav,bağ b aː
alarga.wav,alarga a ɫ a ɾ ɡ a
afaki.wav,afaki aː f aː c iː
amber.wav,amber a m b ɛ ɾ
ayip.wav,ayıp a j ɯ p
ahu.wav,ahu aː h uː
ayakkabi.wav,ayakkabı a j a k k a b ɯ
abi.wav,abi aː b iː
agyar.wav,ağyar aː j aː ɾ
ars.wav,arş a ɾ ʃ
bagimli.wav,bağımlı b aː m ɫ ɯ
amme.wav,amme a m m e
asermek.wav,aşermek a ʃ ɛ ɾ m e k
ahir.wav,ahir aː h i ɾ
akraba.wav,akraba a k ɾ a b aː
amir.wav,amir aː m i ɾ
alfabe.wav,alfabe aː ɫ f a b e
amigo.wav,amigo a m iː ɡ o
ama.wav,âmâ a m a
agirlamak.wav,ağırlamak aː ɾ ɫ a m a k
alabora.wav,alabora a ɫ a b o ɾ a
bab.wav,bab b aː b
agir.wav,ağır aː ɾ
ar.wav,ar aː ɾ
aga.wav,ağa aː
abiye.wav,abiye a b i j e
afak.wav,afak aː f aː k
ambargo.wav,ambargo a m b a ɾ ɡ o
agora.wav,agora a ɡ o ɾ a
araf.wav,araf aː ɾ aː f
aykiri.wav,aykırı a j k ɯ ɾ ɯ
ag.wav,ağ aː
arife.wav,arife a ɾ i f ɛ
ala.wav,âlâ a ɫ a
baga.wav,bağa b aː a
aya.wav,aya a j a
asik.wav,âşık a ʃ ɯ k
