path,phonemes
arazi.wav,arazi spn
alkol.wav,alkol spn
antrenman.wav,antrenman spn
acayip.wav,acayip spn
aptal.wav,aptal spn
ayal.wav,ayal spn
babayani.wav,babayani spn
acilen.wav,acilen spn
ampirik.wav,ampirik a m p i ɾ i k
adaptor.wav,adaptör spn
astronomik.wav,astronomik spn
agabey.wav,ağabey aː b e j
angaje.wav,angaje spn
arabesk.wav,arabesk spn
absurt.wav,absürt spn
aksi.wav,aksi spn
antipatik.wav,antipatik spn
asla.wav,asla spn
ashane.wav,aşhane spn
avare.wav,avare aː v aː ɾ e
aceze.wav,aceze spn
agustos.wav,ağustos spn
adabimuaseret.wav,adabımuaşeret spn
allameicihan.wav,allameicihan spn
afetzede.wav,afetzede spn
asansor.wav,asansör spn
abandone.wav,abandone spn
amirane.wav,amirane spn
akit.wav,akit spn
apostrof.wav,apostrof spn
ampul.wav,ampul spn
amortisman.wav,amortisman spn
antoloji.wav,antoloji spn
baba.wav,baba b a b a
anarsizm.wav,anarşizm spn
adil.wav,adil spn
azim.wav,azim spn
azil.wav,azil spn
acembuselik.wav,acembuselik spn
abikevser.wav,abıkevser spn
atesgede.wav,ateşgede spn
aslan.wav,aslan spn
ahenktar.wav,ahenktar spn
alelusul.wav,alelusul spn
adet.wav,âdet spn
arziyat.wav,arziyat spn
abani.wav,abani spn
aruz.wav,aruz spn
antiseptik.wav,antiseptik spn
asilzadegan.wav,asilzadegân spn
animasyon.wav,animasyon spn
atesbaz.wav,ateşbaz spn
asi.wav,asi spn
asliye.wav,asliye spn
adli.wav,adli spn
arizi.wav,arızi spn
asiran.wav,aşiran spn
aparkat.wav,aparkat spn
atfen.wav,atfen spn
amenna.wav,amenna spn
amin.wav,âmin spn
aksulamel.wav,aksülamel spn
ablak.wav,ablak a b ɫ a k
akvaryum.wav,akvaryum a k v a ɾ j u m
ahdetmek.wav,ahdetmek spn
akide.wav,akide spn
alafranga.wav,alafranga spn
ah.wav,ah aː h
amele.wav,amele spn
aksiyoner.wav,aksiyoner spn
arz.wav,arz spn
akik.wav,akik a c iː k
azami.wav,azami spn
ameliyat.wav,ameliyat spn
ayyuk.wav,ayyuk a j j uː k
antrikot.wav,antrikot spn
babacko.wav,babaçko spn
ananevi.wav,ananevi spn
asufte.wav,aşüfte spn
atas.wav,ataş spn
alayis.wav,alayiş spn
akabinde.wav,akabinde spn
altmis.wav,altmış spn
askeri.wav,askerî spn
agorafobi.wav,agorafobi a ɡ o ɾ a f o b i
avantaci.wav,avantacı spn
