word,phonetic,audio_file,SesKelime Number
a,A,https://sozluk.rtuk.gov.tr/Home/SesKelime/1,1
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/2,2
ab,A:b,https://sozluk.rtuk.gov.tr/Home/SesKelime/3,3
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/4,4
abad,A:ba:d,https://sozluk.rtuk.gov.tr/Home/SesKelime/5,5
abani,Aba:ni:,https://sozluk.rtuk.gov.tr/Home/SesKelime/6,6
abandone,Abandoné,https://sozluk.rtuk.gov.tr/Home/SesKelime/7,7
abanoz,abanoz,https://sozluk.rtuk.gov.tr/Home/SesKelime/8,8
abajur,abajur,https://sozluk.rtuk.gov.tr/Home/SesKelime/9,9
Abaza,Abaza,https://sozluk.rtuk.gov.tr/Home/SesKelime/10,10
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/11,11
Abbas,Abbas,https://sozluk.rtuk.gov.tr/Home/SesKelime/12,12
Abbasi,Abba:si:,https://sozluk.rtuk.gov.tr/Home/SesKelime/13,13
abdal,abda:l,https://sozluk.rtuk.gov.tr/Home/SesKelime/14,14
abdest,abdést,https://sozluk.rtuk.gov.tr/Home/SesKelime/15,15
abdesthane,Abdéstha:né,https://sozluk.rtuk.gov.tr/Home/SesKelime/16,16
abdestlik,Abdéstlik,https://sozluk.rtuk.gov.tr/Home/SesKelime/17,17
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/18,18
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/19,19
Abdülkadir,Abdülka:dir,https://sozluk.rtuk.gov.tr/Home/SesKelime/20,20
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/21,21
abes,abés,https://sozluk.rtuk.gov.tr/Home/SesKelime/22,22
abıhayat,A:bıhayat (A:bıhaya:t-ı),https://sozluk.rtuk.gov.tr/Home/SesKelime/23,23
abıkevser,A:bıkévser,https://sozluk.rtuk.gov.tr/Home/SesKelime/24,24
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/25,25
abid,A:bid,https://sozluk.rtuk.gov.tr/Home/SesKelime/26,26
Abidin,A:bidi:n,https://sozluk.rtuk.gov.tr/Home/SesKelime/27,27
abide,A:bidé,https://sozluk.rtuk.gov.tr/Home/SesKelime/28,28
abidevi,A:bidévi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/29,29
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/30,30
abiye,Abiyé,https://sozluk.rtuk.gov.tr/Home/SesKelime/31,31
abla,abla,https://sozluk.rtuk.gov.tr/Home/SesKelime/32,32
ablak,ablak,https://sozluk.rtuk.gov.tr/Home/SesKelime/33,33
abonman,Abonman,https://sozluk.rtuk.gov.tr/Home/SesKelime/34,34
Aborjin,Aborjin,https://sozluk.rtuk.gov.tr/Home/SesKelime/35,35
abrakadabra,Abrakadabra,https://sozluk.rtuk.gov.tr/Home/SesKelime/36,36
absorbe,absorbé,https://sozluk.rtuk.gov.tr/Home/SesKelime/37,37
absürt,Absürt,https://sozluk.rtuk.gov.tr/Home/SesKelime/38,38
abuk sabuk,Abuk sabuk,https://sozluk.rtuk.gov.tr/Home/SesKelime/39,39
abus,abus,https://sozluk.rtuk.gov.tr/Home/SesKelime/40,40
acaba,Acaba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/41,41
Acar,acar,https://sozluk.rtuk.gov.tr/Home/SesKelime/42,42
,,https://sozluk.rtuk.gov.tr/Home/SesKelime/43,43
acayip,Aca:yip,https://sozluk.rtuk.gov.tr/Home/SesKelime/44,44
acele,acélé,https://sozluk.rtuk.gov.tr/Home/SesKelime/45,45
Acem,acém,https://sozluk.rtuk.gov.tr/Home/SesKelime/46,46
acemaşiran,Acémaşi:ran,https://sozluk.rtuk.gov.tr/Home/SesKelime/47,47
acembuselik,Acémbu:sélik,https://sozluk.rtuk.gov.tr/Home/SesKelime/48,48
acemi,acemi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/49,49
acemkürdi,Acémkürdi:,https://sozluk.rtuk.gov.tr/Home/SesKelime/50,50
acente,Acénté,https://sozluk.rtuk.gov.tr/Home/SesKelime/51,51
Acep,acep,https://sozluk.rtuk.gov.tr/Home/SesKelime/52,52
aceze,Acézé,https://sozluk.rtuk.gov.tr/Home/SesKelime/53,53
acibe,Aci:bé,https://sozluk.rtuk.gov.tr/Home/SesKelime/54,54
acil,A:cil,https://sozluk.rtuk.gov.tr/Home/SesKelime/55,55
acilen,A:cilen,https://sozluk.rtuk.gov.tr/Home/SesKelime/56,56
aciz,A:ciz,https://sozluk.rtuk.gov.tr/Home/SesKelime/57,57
acizane,A:ciza:né,https://sozluk.rtuk.gov.tr/Home/SesKelime/58,58
acul,Acû:l,https://sozluk.rtuk.gov.tr/Home/SesKelime/59,59
